input,itemName,itemQuantity,itemUnit,itemKcal,totalKcal,mealType,timeOffset
"200 grams chickpeas, (garbanzo beans, bengal gram), dry 744kcal -2h","chickpeas, (garbanzo beans, bengal gram), dry",200,g,744,744,unknown,-PT2H
"ate 150 gr lentils, dry","lentils, dry",150,g,526,526,unknown,PT0M
"250 g blackeye pea, dry -24d","blackeye pea, dry",250,g,864,864,unknown,-P24D
"250 grams beans, black, canned, sodium added, drained and rinsed","beans, black, canned, sodium added, drained and rinsed",250,g,288,288,unknown,PT0M
"200 g beans, navy, canned, sodium added, drained and rinsed kcal232 snack 8h ago","beans, navy, canned, sodium added, drained and rinsed",200,g,232,232,snack,-PT8H
"beans, cannellini, canned, sodium added, drained and rinsed g250 bf","beans, cannellini, canned, sodium added, drained and rinsed",250,g,280,280,breakfast,PT0M
"150g chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed -25d","chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",150,g,199,199,unknown,-P25D
"beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed 250 grams -19h","beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",250,g,308,308,unknown,-PT19H
"beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed g250 309kcal -7d","beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",250,g,309,309,unknown,-P7D
"ate g50 peas, green, sweet, canned, sodium added, sugar added, drained and rinsed lunch","peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",50,g,39,39,lunch,PT0M
"beans, pinto, canned, sodium added, drained and rinsed g100 -7h","beans, pinto, canned, sodium added, drained and rinsed",100,g,114,114,unknown,-PT7H
"150 g blackeye pea, canned, sodium added, drained and rinsed dinner -28d","blackeye pea, canned, sodium added, drained and rinsed",150,g,169,169,dinner,-P28D
"beans, great northern, canned, sodium added, drained and rinsed 150 gr","beans, great northern, canned, sodium added, drained and rinsed",150,g,170,170,unknown,PT0M
"100 gr pork, loin, boneless, raw lunch -17h","pork, loin, boneless, raw",100,g,174,174,lunch,-PT17H
"pork, loin, tenderloin, boneless, raw 50g dinner","pork, loin, tenderloin, boneless, raw",50,g,63,63,dinner,PT0M
"ate 100 gr chicken, breast, boneless, skinless, raw lunch","chicken, breast, boneless, skinless, raw",100,g,112,112,lunch,PT0M
"chicken, thigh, boneless, skinless, raw 150 g 224cal","chicken, thigh, boneless, skinless, raw",150,g,224,224,unknown,PT0M
"beef, ribeye, steak, boneless, choice, raw g50","beef, ribeye, steak, boneless, choice, raw",50,g,130,130,unknown,PT0M
"beef, round, top round, boneless, choice, raw 50g","beef, round, top round, boneless, choice, raw",50,g,73,73,unknown,PT0M
"beef, chuck, roast, boneless, choice, raw 50 gr dinner","beef, chuck, roast, boneless, choice, raw",50,g,119,119,dinner,PT0M
"ate 100g beef, flank, steak, boneless, choice, raw lunch tomorrow","beef, flank, steak, boneless, choice, raw",100,g,170,170,lunch,P1D
"ate 250 grams yogurt, plain, nonfat cal125","yogurt, plain, nonfat",250,g,125,125,unknown,PT0M
"ate 50 g cheese, monterey jack, solid","cheese, monterey jack, solid",50,g,195,195,unknown,PT0M
"50g cheese, pasteurized process cheese food or product, american, singles snack 9d ago","cheese, pasteurized process cheese food or product, american, singles",50,g,154,154,snack,-P9D
"ate 50 grams cheese, provolone, sliced 15d ago","cheese, provolone, sliced",50,g,178,178,unknown,-P15D
"150 grams cheese, oaxaca, solid","cheese, oaxaca, solid",150,g,447,447,unknown,PT0M
"50 g cheese, queso fresco, solid 149cal","cheese, queso fresco, solid",50,g,149,149,unknown,PT0M
"ate 150 gr cheese, cotija, solid dinner -17h","cheese, cotija, solid",150,g,528,528,dinner,-PT17H
"50g fish, salmon, sockeye, wild caught, raw 68 kcal","fish, salmon, sockeye, wild caught, raw",50,g,68,68,unknown,PT0M
"100 g fish, salmon, atlantic, farm raised, raw snack 26d ago","fish, salmon, atlantic, farm raised, raw",100,g,203,203,snack,-P26D
"200g fish, tilapia, farm raised, raw cal200 dinner","fish, tilapia, farm raised, raw",200,g,200,200,dinner,PT0M
"250 gr crustaceans, shrimp, farm raised, raw bf","crustaceans, shrimp, farm raised, raw",250,g,189,189,breakfast,PT0M
"ate 50 gr fish, cod, atlantic, wild caught, raw","fish, cod, atlantic, wild caught, raw",50,g,35,35,unknown,PT0M
"150 gr fish, catfish, farm raised, raw 201kcal breakfast","fish, catfish, farm raised, raw",150,g,201,201,breakfast,PT0M
"crustaceans, crab, blue swimming, lump, pasteurized, refrigerated 100 gr 22d ago","crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",100,g,86,86,unknown,-P22D
"ate 100g squash, summer, green, zucchini, includes skin, raw dinner","squash, summer, green, zucchini, includes skin, raw",100,g,16,16,dinner,PT0M
"50 grams squash, summer, yellow, includes skin, raw 10kcal","squash, summer, yellow, includes skin, raw",50,g,10,10,unknown,PT0M
"squash, winter, butternut, raw 50 gr 21cal 3d ago","squash, winter, butternut, raw",50,g,21,21,unknown,-P3D
"200 g squash, winter, acorn, raw lunch 15d ago","squash, winter, acorn, raw",200,g,84,84,lunch,-P15D
"ate 150g cabbage, bok choy, raw","cabbage, bok choy, raw",150,g,26,26,unknown,PT0M
"cauliflower, raw g250 lunch -16d","cauliflower, raw",250,g,57,57,lunch,-P16D
"50 grams collards, raw kcal19 dinner","collards, raw",50,g,19,19,dinner,PT0M
"brussels sprouts, raw 200 gr tomorrow","brussels sprouts, raw",200,g,98,98,unknown,P1D
"ate 250 grams beets, raw","beets, raw",250,g,102,102,unknown,PT0M
"eggplant, raw 200 grams","eggplant, raw",200,g,45,45,unknown,PT0M
"tomatoes, whole, canned, solids and liquids, with salt added 200 g snack","tomatoes, whole, canned, solids and liquids, with salt added",200,g,38,38,snack,PT0M
"150g tomato, sauce, canned, with salt added breakfast -1h","tomato, sauce, canned, with salt added",150,g,44,44,breakfast,-PT1H
"200 grams tomato, paste, canned, without salt added -20d","tomato, paste, canned, without salt added",200,g,177,177,unknown,-P20D
"ate g250 tomatoes, crushed, canned","tomatoes, crushed, canned",250,g,81,81,unknown,PT0M
"tomato, puree, canned 200 grams -15d","tomato, puree, canned",200,g,70,70,unknown,-P15D
"apricot, with skin, raw 250 grams 109kcal lunch","apricot, with skin, raw",250,g,109,109,lunch,PT0M
"melons, honeydew, raw g250 82kcal tomorrow","melons, honeydew, raw",250,g,82,82,unknown,P1D
"plantains, ripe, raw 100 grams","plantains, ripe, raw",100,g,123,123,unknown,PT0M
"plantains, underripe, raw 100 gr 145 kcal 15d ago","plantains, underripe, raw",100,g,145,145,unknown,-P15D
"ate 50g chia seeds, dry, raw 245 kcal 15h ago","chia seeds, dry, raw",50,g,245,245,unknown,-PT15H
"bulgur, dry, raw 250g","bulgur, dry, raw",250,g,873,873,unknown,PT0M
"wild rice, dry, raw 100 gr cal359","wild rice, dry, raw",100,g,359,359,unknown,PT0M
"250 g arugula, baby, raw snack 17h ago","arugula, baby, raw",250,g,65,65,snack,-PT17H
"asparagus, green, raw g200","asparagus, green, raw",200,g,47,47,unknown,PT0M
"ate 250 g avocado, hass, peeled, raw 515 kcal ln 15d ago","avocado, hass, peeled, raw",250,g,515,515,late_night,-P15D
"200 grams rice, black, unenriched, raw +1d","rice, black, unenriched, raw",200,g,721,721,unknown,P1D
"250 g corn, sweet, yellow and white kernels, fresh, raw bf","corn, sweet, yellow and white kernels, fresh, raw",250,g,182,182,breakfast,PT0M
"250 g einkorn, grain, dry, raw","einkorn, grain, dry, raw",250,g,864,864,unknown,PT0M
"farro, pearled, dry, raw 200 g tomorrow","farro, pearled, dry, raw",200,g,688,688,unknown,P1D
"ate 50 gr fonio, grain, dry, raw breakfast 6h ago","fonio, grain, dry, raw",50,g,188,188,breakfast,-PT6H
"100 grams khorasan, grain, dry, raw 348kcal dinner 2h ago","khorasan, grain, dry, raw",100,g,348,348,dinner,-PT2H
"kiwifruit (kiwi), green, peeled, raw 50 grams 29 kcal bf","kiwifruit (kiwi), green, peeled, raw",50,g,29,29,breakfast,PT0M
"mandarin, seedless, peeled, raw 200 gr","mandarin, seedless, peeled, raw",200,g,111,111,unknown,PT0M
"ate 150 gr mango, tommy atkins, peeled, raw 92kcal","mango, tommy atkins, peeled, raw",150,g,92,92,unknown,PT0M
"mango, ataulfo, peeled, raw 150 gr","mango, ataulfo, peeled, raw",150,g,106,106,unknown,PT0M
"ate 200 g corn flour, masa harina, white or yellow, dry, raw 732kcal","corn flour, masa harina, white or yellow, dry, raw",200,g,732,732,unknown,PT0M
"ate 200 g pear, anjou, green, with skin, raw -18h","pear, anjou, green, with skin, raw",200,g,115,115,unknown,-PT18H
"ate 50 g plum, black, with skin, raw -20d","plum, black, with skin, raw",50,g,26,26,unknown,-P20D
"g100 rice, red, unenriched, dry, raw -26d","rice, red, unenriched, dry, raw",100,g,360,360,unknown,-P26D
"g100 sorghum bran, white, unenriched, dry, raw breakfast","sorghum bran, white, unenriched, dry, raw",100,g,365,365,breakfast,PT0M
"ate 50 g sorghum flour, white, pearled, unenriched, dry, raw lunch","sorghum flour, white, pearled, unenriched, dry, raw",50,g,175,175,lunch,PT0M
"ate 250 grams sorghum grain, white, pearled, unenriched, dry, raw dinner","sorghum grain, white, pearled, unenriched, dry, raw",250,g,846,846,dinner,PT0M
"100 grams sorghum, whole grain, white, dry, raw 341cal","sorghum, whole grain, white, dry, raw",100,g,341,341,unknown,PT0M
"100 grams plantains, overripe, raw late night 16d ago","plantains, overripe, raw",100,g,117,117,late_night,-P16D
"chicken, drumstick, meat and skin, raw 250 gr -2h","chicken, drumstick, meat and skin, raw",250,g,325,325,unknown,-PT2H
"100 gr chicken, thigh, meat and skin, raw","chicken, thigh, meat and skin, raw",100,g,193,193,unknown,PT0M
"100 g chicken, wing, meat and skin, raw","chicken, wing, meat and skin, raw",100,g,173,173,unknown,PT0M
"100 grams chicken, breast, meat and skin, raw 29d ago","chicken, breast, meat and skin, raw",100,g,133,133,unknown,-P29D
"lamb, ground, raw 50 grams -16d","lamb, ground, raw",50,g,121,121,unknown,-P16D
"bison, ground, raw 100g -14h","bison, ground, raw",100,g,164,164,unknown,-PT14H
"beef, short loin (ny strip steak), raw 200 grams cal392","beef, short loin (ny strip steak), raw",200,g,392,392,unknown,PT0M
"beef, tenderloin steak, raw 50g snack 5d ago","beef, tenderloin steak, raw",50,g,75,75,snack,-P5D
"150g beef, top sirloin steak, raw 219cal lunch","beef, top sirloin steak, raw",150,g,219,219,lunch,PT0M
"ate 250g pork, chop, center cut, raw -20h","pork, chop, center cut, raw",250,g,362,362,unknown,-PT20H
"150g pork, belly, with skin, raw","pork, belly, with skin, raw",150,g,578,578,unknown,PT0M
"anchovies, canned in olive oil, with salt, drained 50 gr","anchovies, canned in olive oil, with salt, drained",50,g,103,103,unknown,PT0M
"100 grams beet greens, raw","beet greens, raw",100,g,26,26,unknown,PT0M
"cod, pacific or alaskan, frozen, wild caught 250 grams cal152 dinner -12h","cod, pacific or alaskan, frozen, wild caught",250,g,152,152,dinner,-PT12H
"150 grams fennel, bulb, raw kcal40 snack","fennel, bulb, raw",150,g,40,40,snack,PT0M
"ate 100 gr halibut, frozen, wild caught","halibut, frozen, wild caught",100,g,81,81,unknown,PT0M
"ate 50 gr lobster, tail only, frozen, wild caught 24d ago","lobster, tail only, frozen, wild caught",50,g,29,29,unknown,-P24D
"100 g mahi mahi, frozen, wild caught tomorrow","mahi mahi, frozen, wild caught",100,g,84,84,unknown,P1D
"250 gr parsnips, raw breakfast -17d","parsnips, raw",250,g,218,218,breakfast,-P17D
"ate 50 g peppers, banana or hungarian wax, seeded, raw","peppers, banana or hungarian wax, seeded, raw",50,g,12,12,unknown,PT0M
"ate 150 g peppers, jalapeno, seeded, raw -12d","peppers, jalapeno, seeded, raw",150,g,36,36,unknown,-P12D
"ate 50 g peppers, poblano, seeded, raw bf","peppers, poblano, seeded, raw",50,g,14,14,breakfast,PT0M
"g250 peppers, serrano, seeded, raw","peppers, serrano, seeded, raw",250,g,73,73,unknown,PT0M
"150 g radicchio, raw snack 8d ago","radicchio, raw",150,g,40,40,snack,-P8D
"250 grams radishes, red, raw","radishes, red, raw",250,g,49,49,unknown,PT0M
"ate 200g scallops, bay, patagonian, frozen, wild caught tmr","scallops, bay, patagonian, frozen, wild caught",200,g,157,157,unknown,P1D
"ate 150g scallops, sea, frozen, wild caught dinner","scallops, sea, frozen, wild caught",150,g,100,100,dinner,PT0M
"250 g sea bass, chilean, frozen, wild caught snack -11h","sea bass, chilean, frozen, wild caught",250,g,523,523,snack,-PT11H
"snapper, frozen, wild caught 150 gr lunch","snapper, frozen, wild caught",150,g,134,134,lunch,PT0M
"150g snow crab, legs only, frozen","snow crab, legs only, frozen",150,g,104,104,unknown,PT0M
"squid (calamari), frozen, tubes only g50","squid (calamari), frozen, tubes only",50,g,22,22,unknown,PT0M
"swordfish, frozen, wild caught g250 snack -2d","swordfish, frozen, wild caught",250,g,380,380,snack,-P2D
"100 g tuna, ahi or yellowfin, frozen, wild caught cal102 lunch 13d ago","tuna, ahi or yellowfin, frozen, wild caught",100,g,102,102,lunch,-P13D
"ate 200g turnips, raw -23d","turnips, raw",200,g,68,68,unknown,-P23D
"ate 150 g watermelon, seedless, rind only, raw -1d","watermelon, seedless, rind only, raw",150,g,36,36,unknown,-P1D
