input,itemsJson,totalKcal,mealType,timeOffset
100 g blueberries + 20 gr raw english walnut halves 22d ago,"[{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136}]",193,unknown,-P22D
cooked meat-only chicken drumstick 200 grams + 150 g raw romaine lettuce lunch -16h,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":200,""unit"":""g"",""kcal"":312},{""name"":""lettuce, romaine, green, raw"",""quantity"":150,""unit"":""g"",""kcal"":26}]",338,lunch,-PT16H
cooked skinless boneless chicken breast 2piece + 100g raw cucumber with peel dinner tmr,"[{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":2,""unit"":""piece"",""kcal"":578},{""name"":""cucumber, with peel, raw"",""quantity"":100,""unit"":""g"",""kcal"":14}]",592,dinner,P1D
raspberries 100g + raw english walnut halves 30g 255kcal snack tomorrow,"[{""name"":""raspberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":51},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204}]",255,snack,P1D
100g red delicious apple + raw english walnut halves g30 266kcal snack 20h ago,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204}]",266,snack,-PT20H
100 gr raw roma tomato + cooked skinless boneless chicken breast 2piece dinner,"[{""name"":""tomato, roma"",""quantity"":100,""unit"":""g"",""kcal"":19},{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":2,""unit"":""piece"",""kcal"":578}]",597,dinner,PT0M
150 gr blueberries + raw peanuts g30 251kcal bf,"[{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86},{""name"":""peanuts, raw"",""quantity"":30,""unit"":""g"",""kcal"":165}]",251,breakfast,PT0M
raspberries 150g + raw english walnut halves 20 gr breakfast,"[{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136}]",213,breakfast,PT0M
ate blueberries 100 g + 30 grams whole raw almonds breakfast -29d,"[{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57},{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175}]",232,breakfast,-P29D
2% milk cup1 + strawberries 100 grams snack 19d ago,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":114},{""name"":""strawberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":31}]",145,snack,-P19D
raspberries 150 grams + 2 cups whole milk 352 cal snack,"[{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":275}]",352,snack,PT0M
red delicious apple 100 g + whole raw almonds 15 gr snack,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",150,snack,PT0M
ate blueberries 150 grams + raw english walnut halves 20 g snack,"[{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136}]",222,snack,PT0M
ate g150 strawberries + raw peanuts 30 gr ln -28d,"[{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47},{""name"":""peanuts, raw"",""quantity"":30,""unit"":""g"",""kcal"":165}]",212,late_night,-P28D
cooked skinless boneless chicken breast 1piece + raw romaine lettuce 100 g lunch,"[{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":1,""unit"":""piece"",""kcal"":289},{""name"":""lettuce, romaine, green, raw"",""quantity"":100,""unit"":""g"",""kcal"":17}]",306,lunch,PT0M
1 cup 2% milk + 150g blueberries snack 23h ago,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":114},{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86}]",200,snack,-PT23H
strawberries g150 + whole raw almonds 30 gr kcal222,"[{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47},{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175}]",222,unknown,PT0M
100 grams strawberries + raw english walnut halves 15 g snack,"[{""name"":""strawberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":31},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102}]",133,snack,PT0M
150 g strawberries + 30 grams raw english walnut halves 251 cal ln 23d ago,"[{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204}]",251,late_night,-P23D
200 gr blueberries + g20 raw english walnut halves snack -23d,"[{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136}]",251,snack,-P23D
150 grams blueberries + raw english walnut halves 15 gr -14h,"[{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102}]",188,unknown,-PT14H
2% milk cup2 + strawberries g100 snack -22h,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":227},{""name"":""strawberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":31}]",258,snack,-PT22H
red delicious apple 200g + 20 grams whole raw almonds 241kcal snack,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124},{""name"":""nuts, almonds, whole, raw"",""quantity"":20,""unit"":""g"",""kcal"":117}]",241,snack,PT0M
ate blueberries g100 + raw peanuts 30 g late night,"[{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57},{""name"":""peanuts, raw"",""quantity"":30,""unit"":""g"",""kcal"":165}]",222,late_night,PT0M
raspberries 200g + 15 gr whole raw almonds late night,"[{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",191,late_night,PT0M
blueberries 100 gr + whole raw almonds 15 grams snack,"[{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",145,snack,PT0M
ate strawberries 200 gr + 20 gr raw peanuts kcal172 -20d,"[{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",172,unknown,-P20D
15 g raw english walnut halves + 150 grams red delicious apple,"[{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102},{""name"":""apples, red delicious, with skin, raw"",""quantity"":150,""unit"":""g"",""kcal"":93}]",195,unknown,PT0M
ate 200 grams blueberries + g30 raw english walnut halves,"[{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204}]",319,unknown,PT0M
raspberries 150 gr + 2% milk 1 cup 191kcal snack -19d,"[{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":114}]",191,snack,-P19D
blueberries 100 grams + 2% milk cup2 snack -16d,"[{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57},{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":227}]",284,snack,-P16D
1 cup 2% milk + strawberries 200g snack,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":114},{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62}]",176,snack,PT0M
cup2 whole milk + red delicious apple 200 grams 399 cal,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":275},{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124}]",399,unknown,PT0M
cooked meat-only chicken drumstick 150g + raw romaine lettuce 50 gr,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":150,""unit"":""g"",""kcal"":234},{""name"":""lettuce, romaine, green, raw"",""quantity"":50,""unit"":""g"",""kcal"":9}]",243,unknown,PT0M
150 g raspberries + raw peanuts 20 gr 22d ago,"[{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",187,unknown,-P22D
100 gr raspberries + 30 grams whole raw almonds -23d,"[{""name"":""raspberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":51},{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175}]",226,unknown,-P23D
raspberries 200 grams + raw peanuts 30g,"[{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103},{""name"":""peanuts, raw"",""quantity"":30,""unit"":""g"",""kcal"":165}]",268,unknown,PT0M
200 g blueberries + raw peanuts 20 gr snack,"[{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",225,snack,PT0M
ate 150 gr raspberries + raw english walnut halves 30 grams 10h ago,"[{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204}]",281,unknown,-PT10H
cooked meat-only chicken drumstick g100 + raw cucumber with peel 150 grams dinner 8d ago,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":100,""unit"":""g"",""kcal"":156},{""name"":""cucumber, with peel, raw"",""quantity"":150,""unit"":""g"",""kcal"":21}]",177,dinner,-P8D
ate 2 cups whole milk + red delicious apple g100,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":275},{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62}]",337,unknown,PT0M
2piece cooked skinless boneless chicken breast + raw roma tomato 50 g 587kcal dinner 30d ago,"[{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":2,""unit"":""piece"",""kcal"":578},{""name"":""tomato, roma"",""quantity"":50,""unit"":""g"",""kcal"":9}]",587,dinner,-P30D
200 gr raspberries + 30g whole raw almonds,"[{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103},{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175}]",278,unknown,PT0M
ate 15 g raw peanuts + g150 red delicious apple late night,"[{""name"":""peanuts, raw"",""quantity"":15,""unit"":""g"",""kcal"":83},{""name"":""apples, red delicious, with skin, raw"",""quantity"":150,""unit"":""g"",""kcal"":93}]",176,late_night,PT0M
150 gr blueberries + raw english walnut halves 30 g bf 13d ago,"[{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204}]",290,breakfast,-P13D
strawberries 200 grams + 15 gr raw peanuts,"[{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62},{""name"":""peanuts, raw"",""quantity"":15,""unit"":""g"",""kcal"":83}]",145,unknown,PT0M
2cup whole milk + g150 blueberries bf,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":275},{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86}]",361,breakfast,PT0M
cooked skinless boneless chicken breast 2 pieces + raw romaine lettuce 50 g 587kcal dinner,"[{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":2,""unit"":""piece"",""kcal"":578},{""name"":""lettuce, romaine, green, raw"",""quantity"":50,""unit"":""g"",""kcal"":9}]",587,dinner,PT0M
ate 1 piece cooked skinless boneless chicken breast + g150 raw cucumber with peel -15h,"[{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":1,""unit"":""piece"",""kcal"":289},{""name"":""cucumber, with peel, raw"",""quantity"":150,""unit"":""g"",""kcal"":21}]",310,unknown,-PT15H
150 g strawberries + whole raw almonds 20 g snack,"[{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47},{""name"":""nuts, almonds, whole, raw"",""quantity"":20,""unit"":""g"",""kcal"":117}]",164,snack,PT0M
150 grams strawberries + whole raw almonds 15 grams late night -5d,"[{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",135,late_night,-P5D
cooked meat-only chicken drumstick 150g + raw roma tomato 150g 4h ago,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":150,""unit"":""g"",""kcal"":234},{""name"":""tomato, roma"",""quantity"":150,""unit"":""g"",""kcal"":28}]",262,unknown,-PT4H
ate cup2 whole milk + blueberries 100g snack,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":275},{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57}]",332,snack,PT0M
ate cooked meat-only chicken drumstick 100 g + 50g raw romaine lettuce lunch,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":100,""unit"":""g"",""kcal"":156},{""name"":""lettuce, romaine, green, raw"",""quantity"":50,""unit"":""g"",""kcal"":9}]",165,lunch,PT0M
ate 2% milk cup1 + 100g raspberries,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":114},{""name"":""raspberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":51}]",165,unknown,PT0M
ate 100g strawberries + 15 grams whole raw almonds,"[{""name"":""strawberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":31},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",119,unknown,PT0M
ate strawberries 150 gr + raw peanuts 20 gr 157 cal,"[{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",157,unknown,PT0M
ate raspberries 100 g + 15 grams whole raw almonds 139kcal breakfast 30d ago,"[{""name"":""raspberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":51},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",139,breakfast,-P30D
100 g red delicious apple + g30 raw peanuts 27d ago,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62},{""name"":""peanuts, raw"",""quantity"":30,""unit"":""g"",""kcal"":165}]",227,unknown,-P27D
1 cup 2% milk + 100 grams blueberries breakfast,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":114},{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57}]",171,breakfast,PT0M
whole milk 1 cup + raspberries 150 grams snack,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":137},{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77}]",214,snack,PT0M
strawberries 100g + raw peanuts 20g kcal141 snack,"[{""name"":""strawberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":31},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",141,snack,PT0M
ate strawberries 100 gr + 20 grams raw english walnut halves,"[{""name"":""strawberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":31},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136}]",167,unknown,PT0M
g100 cooked meat-only chicken drumstick + raw roma tomato 100 g dinner -19d,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":100,""unit"":""g"",""kcal"":156},{""name"":""tomato, roma"",""quantity"":100,""unit"":""g"",""kcal"":19}]",175,dinner,-P19D
g30 raw english walnut halves + blueberries g100 ln tomorrow,"[{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204},{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57}]",261,late_night,P1D
100 gr blueberries + raw peanuts 15g snack -15h,"[{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57},{""name"":""peanuts, raw"",""quantity"":15,""unit"":""g"",""kcal"":83}]",140,snack,-PT15H
ate 200g raspberries + g30 raw english walnut halves,"[{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204}]",307,unknown,PT0M
blueberries 200 gr + raw peanuts 30 g snack,"[{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115},{""name"":""peanuts, raw"",""quantity"":30,""unit"":""g"",""kcal"":165}]",280,snack,PT0M
ate blueberries g200 + g15 whole raw almonds,"[{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",203,unknown,PT0M
2cup 2% milk + strawberries 200 gr bf,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":227},{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62}]",289,breakfast,PT0M
200 gr strawberries + whole raw almonds 30 gr 237 cal snack -5h,"[{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62},{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175}]",237,snack,-PT5H
ate 200 g red delicious apple + raw peanuts 30 grams snack,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124},{""name"":""peanuts, raw"",""quantity"":30,""unit"":""g"",""kcal"":165}]",289,snack,PT0M
ate cooked meat-only chicken drumstick 150g + g50 raw roma tomato 243kcal lunch,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":150,""unit"":""g"",""kcal"":234},{""name"":""tomato, roma"",""quantity"":50,""unit"":""g"",""kcal"":9}]",243,lunch,PT0M
ate 2 cups 2% milk + 150 grams blueberries 313kcal -8h,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":227},{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86}]",313,unknown,-PT8H
raw cucumber with peel 150g + 200g cooked meat-only chicken drumstick lunch +1d,"[{""name"":""cucumber, with peel, raw"",""quantity"":150,""unit"":""g"",""kcal"":21},{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":200,""unit"":""g"",""kcal"":312}]",333,lunch,P1D
150 g blueberries + 20 gr whole raw almonds,"[{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86},{""name"":""nuts, almonds, whole, raw"",""quantity"":20,""unit"":""g"",""kcal"":117}]",203,unknown,PT0M
ate 150 gr cooked meat-only chicken drumstick + 150 gr raw cucumber with peel,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":150,""unit"":""g"",""kcal"":234},{""name"":""cucumber, with peel, raw"",""quantity"":150,""unit"":""g"",""kcal"":21}]",255,unknown,PT0M
raw peanuts 20g + raspberries g200 -16d,"[{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110},{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103}]",213,unknown,-P16D
ate 2% milk 1 cup + red delicious apple 200 gr kcal238 snack,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":114},{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124}]",238,snack,PT0M
strawberries g150 + 2% milk cup2 kcal274 snack,"[{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47},{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":227}]",274,snack,PT0M
red delicious apple 100g + 1cup whole milk,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62},{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":137}]",199,unknown,PT0M
ate 3 pieces sweet and sour pork + chinese fried rice without meat 2 cups -20h,"[{""name"":""restaurant, chinese, sweet and sour pork"",""quantity"":3,""unit"":""piece"",""kcal"":109},{""name"":""restaurant, chinese, fried rice, without meat"",""quantity"":2,""unit"":""cup"",""kcal"":463}]",572,unknown,-PT20H
whole milk cup2 + 150 g strawberries 322kcal bf,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":275},{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47}]",322,breakfast,PT0M
ate 2piece cooked skinless boneless chicken breast + 100g raw romaine lettuce dinner,"[{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":2,""unit"":""piece"",""kcal"":578},{""name"":""lettuce, romaine, green, raw"",""quantity"":100,""unit"":""g"",""kcal"":17}]",595,dinner,PT0M
2% milk 2cup + raspberries 200 grams breakfast,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":227},{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103}]",330,breakfast,PT0M
whole milk 2cup + 150 grams red delicious apple 368kcal snack,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":275},{""name"":""apples, red delicious, with skin, raw"",""quantity"":150,""unit"":""g"",""kcal"":93}]",368,snack,PT0M
ate 2% milk 2cup + g200 red delicious apple,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":227},{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124}]",351,unknown,PT0M
ate 150 grams strawberries + cup1 2% milk snack 13d ago,"[{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47},{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":114}]",161,snack,-P13D
cooked skinless boneless chicken breast piece2 + raw romaine lettuce 150 grams,"[{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":2,""unit"":""piece"",""kcal"":578},{""name"":""lettuce, romaine, green, raw"",""quantity"":150,""unit"":""g"",""kcal"":26}]",604,unknown,PT0M
cooked meat-only chicken drumstick g100 + raw romaine lettuce 150 gr lunch,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":100,""unit"":""g"",""kcal"":156},{""name"":""lettuce, romaine, green, raw"",""quantity"":150,""unit"":""g"",""kcal"":26}]",182,lunch,PT0M
red delicious apple g150 + raw peanuts 30 g snack,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":150,""unit"":""g"",""kcal"":93},{""name"":""peanuts, raw"",""quantity"":30,""unit"":""g"",""kcal"":165}]",258,snack,PT0M
ate blueberries 150g + whole raw almonds 30 g ln,"[{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86},{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175}]",261,late_night,PT0M
ate raspberries 200 grams + raw english walnut halves g20,"[{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136}]",239,unknown,PT0M
1 piece cooked skinless boneless chicken breast + 50 g raw roma tomato,"[{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":1,""unit"":""piece"",""kcal"":289},{""name"":""tomato, roma"",""quantity"":50,""unit"":""g"",""kcal"":9}]",298,unknown,PT0M
g200 cooked meat-only chicken drumstick + 50 grams raw roma tomato dinner -20d,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":200,""unit"":""g"",""kcal"":312},{""name"":""tomato, roma"",""quantity"":50,""unit"":""g"",""kcal"":9}]",321,dinner,-P20D
2% milk 1cup + 200g blueberries 23h ago,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":114},{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115}]",229,unknown,-PT23H
ate 1cup whole milk + g200 blueberries snack,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":137},{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115}]",252,snack,PT0M
blueberries 200g + raw english walnut halves 15 gr snack,"[{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102}]",217,snack,PT0M
whole milk 2cup + strawberries 200 g bf -17h,"[{""name"":""milk, whole, 3.25% milkfat, with added vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":275},{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62}]",337,breakfast,-PT17H
ate 150 grams red delicious apple + raw peanuts 20g -26d,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":150,""unit"":""g"",""kcal"":93},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",203,unknown,-P26D
200 gr cooked meat-only chicken drumstick + raw roma tomato 100 g dinner 3d ago,"[{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":200,""unit"":""g"",""kcal"":312},{""name"":""tomato, roma"",""quantity"":100,""unit"":""g"",""kcal"":19}]",331,dinner,-P3D
