input,activityName,averageHeartRate,kcal,distance,distanceUnit,duration,elevationGain,pace,poolLength,poolLengthUnit,speed,steps,swimLengths
walk kcal138 step1517 15min 22sec,Walk,,138,,,922000,,,,,,1517,
walk 480kcal step4511 41min 118 bpm,Walk,118,480,,,2460000,,,,,,4511,
run up219.15m 144bpm 1h17m45s 11.08ksteps 1142kcal km9.6,Run,144,1142,9.6,km,4665000,219.15,485.94,,,7.41,11080,
walk up100.58m steps4094 41.8min b95 371kcal,Walk,95,371,,,2508000,100.58,,,,,4094,
walk 67.4min 94hr steps6.89k,Walk,94,,,,4044000,,,,,,6890,
walk +161.54m 966kcal 107b 95min 10239 steps,Walk,107,966,,,5700000,161.54,,,,,10239,
walk 17min 4sec 1636steps 179kcal hr110 up33.53m,Walk,110,179,,,1024000,33.53,,,,,1636,
bike 3.96m gain sec1889 kcal372 125b,Bike,125,372,,,1889000,3.96,,,,,,
walk kcal210 21.3 1921 steps,Walk,,210,,,1278000,,,,,,1921,
sport 393kcal bpm102 41m48s,Sport,102,393,,,2508000,,,,,,,
walk 32.4 247kcal 2781 steps 92hr elev21.34m,Walk,92,247,,,1944000,21.34,,,,,2781,
walk 15m21s 101bpm kcal144 elev54.86m,Walk,101,144,,,921000,54.86,,,,,,
walk 30.48m gain sec921 134kcal,Walk,,134,,,921000,30.48,,,,,,
walk 17min 4sec kcal165 +30.48m,Walk,,165,,,1024000,30.48,,,,,,
sport 3.2ksteps kcal312 36m42s,Sport,,312,,,2202000,,,,,,3200,
walk 97 bpm 51.2 407kcal 3.91k steps,Walk,97,407,,,3072000,,,,,,3910,
run 77.7 m7560,Run,,,7.56,km,4662000,,616.67,,,5.84,,
walk gain27.43m b83 162kcal 24.8min,Walk,83,162,,,1488000,27.43,,,,,,
walk 34m59s 86 bpm,Walk,86,,,,2099000,,,,,,,
walk 231kcal sec1587 2.41ksteps,Walk,,231,,,1587000,,,,,,2410,
bike 859kcal elev68.28m 1h 9min 43sec,Bike,,859,,,4183000,68.28,,,,,,
walk 19m38s avg96,Walk,96,,,,1178000,,,,,,,
walk bpm88 17.1min 125kcal steps1301 24.38m gain,Walk,88,125,,,1026000,24.38,,,,,1301,
walk 17 min kcal184,Walk,,184,,,1020000,,,,,,,
walk 1820 steps sec1126,Walk,,,,,1126000,,,,,,1820,
sport steps2.63k kcal292 106bpm 30 min,Sport,106,292,,,1800000,,,,,,2630,
walk 25min 36sec avg92 steps2.41k 212kcal,Walk,92,212,,,1536000,,,,,,2410,
run 144 bpm 86.6min 11.26km,Run,144,,11.26,km,5196000,,461.46,,,7.8,,
walk kcal153 1.83ksteps 78hr 19.6min 30.48m gain,Walk,78,153,,,1176000,30.48,,,,,1830,
walk steps4.92k 52min 54sec,Walk,,,,,3174000,,,,,,4920,
walk elev100.58m step4955 sec3021 96b 443kcal,Walk,96,443,,,3021000,100.58,,,,,4955,
walk 28m10s 81 bpm 2.01k steps,Walk,81,,,,1690000,,,,,,2010,
walk 1h44m58s step10973,Walk,,,,,6298000,,,,,,10973,
walk 109 bpm 973s +33.53m 1.52k steps kcal183,Walk,109,183,,,973000,33.53,,,,,1520,
walk up104.55m 55min 28sec kcal569 bpm107,Walk,107,569,,,3328000,104.55,,,,,,
walk 198kcal 112 bpm 1127sec,Walk,112,198,,,1127000,,,,,,,
walk up161.54m steps6.88k 1h 7min 25sec,Walk,,,,,4045000,161.54,,,,,6880,
sport 22m12s 180kcal 63bpm steps1.87k,Sport,63,180,,,1332000,,,,,,1870,
sport 20.5min 101b kcal173,Sport,101,173,,,1230000,,,,,,,
sport bpm97 sec1741 251kcal steps2758,Sport,97,251,,,1741000,,,,,,2758,
aerobic workout 78b 19min 37sec,Aerobic Workout,78,,,,1177000,,,,,,,
walk 551kcal sec3737 up103.63m,Walk,,551,,,3737000,103.63,,,,,,
sport 1h 3min 8sec 83 bpm,Sport,83,,,,3788000,,,,,,,
walk up85.34m 100bpm 5183 steps 540kcal 58.9min,Walk,100,540,,,3534000,85.34,,,,,5183,
sport 1h 33min 1sec 97hr step7509 776kcal,Sport,97,776,,,5581000,,,,,,7509,
run sec2611 bpm147,Run,147,,,,2611000,,,,,,,
sport 51.2 106hr step4888 502kcal,Sport,106,502,,,3072000,,,,,,4888,
run 136bpm +158.5m kcal924 64.8min,Run,136,924,,,3888000,158.5,,,,,,
aerobic workout 16.2min b80,Aerobic Workout,80,,,,972000,,,,,,,
walk kcal157 15m21s,Walk,,157,,,921000,,,,,,,
walk 44.4min +82.3m kcal399 steps4211 avg100,Walk,100,399,,,2664000,82.3,,,,,4211,
walk 163kcal 36.58m gain 19 min 1.78k steps 96b,Walk,96,163,,,1140000,36.58,,,,,1780,
walk elev79.25m 99hr 3942sec kcal567,Walk,99,567,,,3942000,79.25,,,,,,
walk 2644 steps kcal278 98hr 34 min,Walk,98,278,,,2040000,,,,,,2644,
walk avg100 91.44m gain 55min 28sec 497kcal,Walk,100,497,,,3328000,91.44,,,,,,
walk hr98 steps3276 33.3min,Walk,98,,,,1998000,,,,,,3276,
walk 110b 30 min 3.08ksteps kcal307,Walk,110,307,,,1800000,,,,,,3080,
walk steps2845 252kcal hr94 31.6 up51.82m,Walk,94,252,,,1896000,51.82,,,,,2845,
run 109bpm 19m38s 210kcal 2352 steps,Run,109,210,,,1178000,,,,,,2352,
walk 242kcal bpm107 22 min,Walk,107,242,,,1320000,,,,,,,
run 116 bpm 2611sec elev67.06m 5.39ksteps kcal489,Run,116,489,,,2611000,67.06,,,,,5390,
walk 1228s b96,Walk,96,,,,1228000,,,,,,,
walk elev30.48m hr103 1751 steps 17min 55sec kcal170,Walk,103,170,,,1075000,30.48,,,,,1751,
sport bpm94 steps1.57k 1126s 154kcal,Sport,94,154,,,1126000,,,,,,1570,
walk sec3738 85.34m gain 95bpm steps6114 534kcal,Walk,95,534,,,3738000,85.34,,,,,6114,
run up20.68m 239kcal 17.1 141hr 2.15k steps,Run,141,239,,,1026000,20.68,,,,,2150,
walk 17.1 kcal162 98bpm 1513 steps,Walk,98,162,,,1026000,,,,,,1513,
walk 301kcal 31.6min hr99,Walk,99,301,,,1896000,,,,,,,
walk kcal333 3.73ksteps min44,Walk,,333,,,2640000,,,,,,3730,
walk kcal782 88.39m gain bpm102 1h 24min 29sec,Walk,102,782,,,5069000,88.39,,,,,,
walk up33.53m 1075s 1658 steps 150kcal bpm98,Walk,98,150,,,1075000,33.53,,,,,1658,
walk 93bpm 1h 8min 16sec 559kcal gain85.34m,Walk,93,559,,,4096000,85.34,,,,,,
walk 17.1min 96hr kcal156 1652steps 33.53m gain,Walk,96,156,,,1026000,33.53,,,,,1652,
walk kcal487 avg101 step5337 gain88.39m 54.6,Walk,101,487,,,3276000,88.39,,,,,5337,
walk steps4.95k 452kcal b96 gain79.25m sec3123,Walk,96,452,,,3123000,79.25,,,,,4950,
aerobic workout steps9.96k 1320kcal sec6298 b133,Aerobic Workout,133,1320,,,6298000,,,,,,9960,
walk 845kcal 1h 27min 2sec hr103 steps8.44k +164.59m,Walk,103,845,,,5222000,164.59,,,,,8440,
walk 104 bpm 17min 4sec kcal169,Walk,104,169,,,1024000,,,,,,,
walk 49.5min 5.09k steps 536kcal 114hr,Walk,114,536,,,2970000,,,,,,5090,
walk 46.1min 478kcal,Walk,,478,,,2766000,,,,,,,
walk 52.9 430kcal 5ksteps,Walk,,430,,,3174000,,,,,,5000,
walk elev128.02m kcal537 3686s 5.81k steps,Walk,,537,,,3686000,128.02,,,,,5810,
swim km0.83 25m pool 23.9 kcal187,Swim,,187,0.83,km,1434000,,1727.71,25,m,2.08,,
sport 520kcal 1h 5min 43sec,Sport,,520,,,3943000,,,,,,,
walk 160kcal elev21.34m 1.45k steps 98hr 21.3min,Walk,98,160,,,1278000,21.34,,,,,1450,
walk 565kcal 6086 steps 54.6 hr112,Walk,112,565,,,3276000,,,,,,6086,
run kcal613 elev115.82m steps6.64k 52,Run,,613,,,3120000,115.82,,,,,6640,
sport 415kcal 49m29s step4460 100 bpm,Sport,100,415,,,2969000,,,,,,4460,
walk 25.6 92hr 2.06k steps kcal188 gain30.48m,Walk,92,188,,,1536000,30.48,,,,,2060,
run 6334 steps 681kcal +185.93m 44m22s,Run,,681,,,2662000,185.93,,,,,6334,
walk steps2576 min30 kcal297,Walk,,297,,,1800000,,,,,,2576,
run 1h 23min 47sec 1196kcal,Run,,1196,,,5027000,,,,,,,
walk gain185.93m steps8152 6092sec bpm95,Walk,95,,,,6092000,185.93,,,,,8152,
walk steps2.05k avg93 sec1280 kcal177,Walk,93,177,,,1280000,,,,,,2050,
walk 246kcal 99 bpm min27 2.35ksteps 60.96m gain,Walk,99,246,,,1620000,60.96,,,,,2350,
sport 1h 24min 28sec 760kcal,Sport,,760,,,5068000,,,,,,,
walk 12343 steps 1149kcal 1h 56min 55sec 155.45m gain hr104,Walk,104,1149,,,7015000,155.45,,,,,12343,
walk 98kcal 1038steps 15.3 avg81,Walk,81,98,,,918000,,,,,,1038,
walk b88 1h 5min 42sec,Walk,88,,,,3942000,,,,,,,
run bpm136 4644s kcal1055,Run,136,1055,,,4644000,,,,,,,
walk 59.7min b100 up121.92m kcal586,Walk,100,586,,,3582000,121.92,,,,,,
cross country skiing 122hr km8.68 1h 59min 41sec,Cross Country Skiing,122,,8.68,km,7181000,,827.3,,,4.35,,
walk 1h17m39s 726kcal,Walk,,726,,,4659000,,,,,,,
walk 156kcal 16min 13sec,Walk,,156,,,973000,,,,,,,
walk 96 bpm 96 min,Walk,96,,,,5760000,,,,,,,
sport 105hr 58min kcal540,Sport,105,540,,,3480000,,,,,,,
walk min26 bpm97 kcal201 step1924 gain3.05m,Walk,97,201,,,1560000,3.05,,,,,1924,
sport step2001 24m44s 102hr,Sport,102,,,,1484000,,,,,,2001,
sport sec2150 3.19ksteps 104bpm 336kcal,Sport,104,336,,,2150000,,,,,,3190,
walk step2426 27.3 bpm102 241kcal,Walk,102,241,,,1638000,,,,,,2426,
sport 289kcal 100hr step2738 32min 25sec,Sport,100,289,,,1945000,,,,,,2738,
sport 71min step6357 kcal665 103 bpm,Sport,103,665,,,4260000,,,,,,6357,
sport hr98 1456 steps 23.9min,Sport,98,,,,1434000,,,,,,1456,
sport 23.9 kcal205 steps1784,Sport,,205,,,1434000,,,,,,1784,
walk min28 276kcal bpm107,Walk,107,276,,,1680000,,,,,,,
walk step6655 3789s kcal569,Walk,,569,,,3789000,,,,,,6655,
run 67 min elev176.02m,Run,,,,,4020000,176.02,,,,,,
walk 101bpm 18.8min kcal178,Walk,101,178,,,1128000,,,,,,,
walk 73 bpm kcal198 25min 36sec elev9.14m,Walk,73,198,,,1536000,9.14,,,,,,
walk 3314steps up33.53m 36.7,Walk,,,,,2202000,33.53,,,,,3314,
walk 108 bpm 1h23m37s 905kcal,Walk,108,905,,,5017000,,,,,,,
walk 18min 113b 39.62m gain,Walk,113,,,,1080000,39.62,,,,,,
walk 3756 steps 40min 6sec,Walk,,,,,2406000,,,,,,3756,
outdoor bike 20.9min kcal187 b96 up3.05m,Outdoor Bike,96,187,,,1254000,3.05,,,,,,
walk elev87.27m hr99 sec4198,Walk,99,,,,4198000,87.27,,,,,,
walk hr99 12.19m gain 46min 5sec 421kcal,Walk,99,421,,,2765000,12.19,,,,,,
walk gain9.14m 46.1 step3338 101 bpm 371kcal,Walk,101,371,,,2766000,9.14,,,,,3338,
walk 29m52s 2.51k steps kcal256,Walk,,256,,,1792000,,,,,,2510,
sport 2.37ksteps 1997sec kcal244 91hr,Sport,91,244,,,1997000,,,,,,2370,
walk bpm98 sec922 kcal121,Walk,98,121,,,922000,,,,,,,
walk elev103.63m 4.58k steps kcal453 hr94 57.2min,Walk,94,453,,,3432000,103.63,,,,,4580,
walk 1536s 97b kcal219 2208 steps,Walk,97,219,,,1536000,,,,,,2208,
walk 1h4m51s step6454,Walk,,,,,3891000,,,,,,6454,
walk +51.82m 95 bpm 1h 11min 41sec,Walk,95,,,,4301000,51.82,,,,,,
walk b106 +76.2m kcal475 4654steps 48m38s,Walk,106,475,,,2918000,76.2,,,,,4654,
run 6.89 mi 10.81ksteps 128 bpm 1h 53min 45sec,Run,128,,11.09,km,6825000,,615.51,,,5.85,10810,
walk 37 min step2972 kcal318 97hr,Walk,97,318,,,2220000,,,,,,2972,
walk 6.34k steps 1h2m17s 106hr,Walk,106,,,,3737000,,,,,,6340,
run 1332sec 2344 steps,Run,,,,,1332000,,,,,,2344,
walk 116b 21.3min kcal249,Walk,116,249,,,1278000,,,,,,,
walk 105 bpm kcal821 85.3min,Walk,105,821,,,5118000,,,,,,,
walk 1h4m17s kcal567,Walk,,567,,,3857000,,,,,,,
run 7099 steps kcal707 bpm139 48m38s up137.16m,Run,139,707,,,2918000,137.16,,,,,7099,
aerobic workout kcal374 3.35ksteps sec1639,Aerobic Workout,,374,,,1639000,,,,,,3350,
walk 33 min steps3383,Walk,,,,,1980000,,,,,,3383,
run 2.24ksteps 18.8min kcal218 119 bpm,Run,119,218,,,1128000,,,,,,2240,
walk 20min kcal195,Walk,,195,,,1200000,,,,,,,
walk 2408steps 229kcal 28.1min,Walk,,229,,,1686000,,,,,,2408,
walk 958kcal b108 9911steps 1h 39min +94.49m,Walk,108,958,,,5940000,94.49,,,,,9911,
walk 17min 4sec kcal165,Walk,,165,,,1024000,,,,,,,
sport 18.8min b96,Sport,96,,,,1128000,,,,,,,
walk 97.54m gain 1h50m56s,Walk,,,,,6656000,97.54,,,,,,
outdoor bike 58m59s 498kcal b96,Outdoor Bike,96,498,,,3539000,,,,,,,
sport kcal241 2408 steps 27.3min bpm100,Sport,100,241,,,1638000,,,,,,2408,
outdoor bike elev3.05m 15min b93 kcal122,Outdoor Bike,93,122,,,900000,3.05,,,,,,
walk up30.48m 2355s steps3.17k,Walk,,,,,2355000,30.48,,,,,3170,
walk 32min 26sec 103bpm,Walk,103,,,,1946000,,,,,,,
walk 118bpm 15.4 144kcal 1429 steps,Walk,118,144,,,924000,,,,,,1429,
walk 306kcal 36min 42sec b106 steps3.28k,Walk,106,306,,,2202000,,,,,,3280,
walk elev6.1m 264kcal step3105 33.3min,Walk,,264,,,1998000,6.1,,,,,3105,
walk 17m55s step1009,Walk,,,,,1075000,,,,,,1009,
walk avg102 30min 43sec 219kcal steps1.73k,Walk,102,219,,,1843000,,,,,,1730,
treadmill 1.55k hr126 16m15s,Treadmill,126,,1.55,km,975000,,629.03,,,5.72,,
treadmill 32min 29sec 4020m 4024 steps hr167,Treadmill,167,,4.02,km,1949000,,484.83,,,7.43,4024,
walk elev3.05m sec1434 192kcal steps1862,Walk,,192,,,1434000,3.05,,,,,1862,
walk 22min 11sec elev6.1m 100hr,Walk,100,,,,1331000,6.1,,,,,,
walk 35min gain21.34m kcal313,Walk,,313,,,2100000,21.34,,,,,,
walk 2.21ksteps bpm111 21.3 193kcal +15.24m,Walk,111,193,,,1278000,15.24,,,,,2210,
walk 232kcal steps2.66k 29m1s 101bpm,Walk,101,232,,,1741000,,,,,,2660,
walk kcal284 b96 41 min,Walk,96,284,,,2460000,,,,,,,
walk 3042 steps kcal319 32m25s 48.77m gain bpm118,Walk,118,319,,,1945000,48.77,,,,,3042,
walk b114 kcal264 26.4min steps2570,Walk,114,264,,,1584000,,,,,,2570,
walk avg111 1331s elev9.14m kcal195 2201steps,Walk,111,195,,,1331000,9.14,,,,,2201,
walk 12.19m gain b111 2.59k steps kcal252 29min 1sec,Walk,111,252,,,1741000,12.19,,,,,2590,
walk min25 234kcal 2.52ksteps 114b,Walk,114,234,,,1500000,,,,,,2520,
walk 24m45s kcal222 109hr,Walk,109,222,,,1485000,,,,,,,
walk 2.75k steps 28.1,Walk,,,,,1686000,,,,,,2750,
walk 40m6s up36.58m,Walk,,,,,2406000,36.58,,,,,,
walk steps2162 23min 2sec,Walk,,,,,1382000,,,,,,2162,
walk 17min 55sec 218kcal up24.38m 130 bpm steps1824,Walk,130,218,,,1075000,24.38,,,,,1824,
walk 2.62ksteps 28min 10sec elev6.1m kcal226 b99,Walk,99,226,,,1690000,6.1,,,,,2620,
walk 23.9min 110 bpm kcal226 2.43ksteps,Walk,110,226,,,1434000,,,,,,2430,
walk 2.86ksteps 29min,Walk,,,,,1740000,,,,,,2860,
walk 1.33ksteps kcal138 17m56s,Walk,,138,,,1076000,,,,,,1330,
walk 16.2 127kcal 1.43ksteps 98 bpm,Walk,98,127,,,972000,,,,,,1430,
walk 37m33s step3332,Walk,,,,,2253000,,,,,,3332,
walk 114bpm 3250steps elev24.38m 2611sec 412kcal,Walk,114,412,,,2611000,24.38,,,,,3250,
walk elev30.48m kcal406 51 min 3853steps b110,Walk,110,406,,,3060000,30.48,,,,,3853,
walk 1690s kcal249 steps2519 112hr elev27.43m,Walk,112,249,,,1690000,27.43,,,,,2519,
walk 37.5min 325kcal elev21.34m 3459 steps,Walk,,325,,,2250000,21.34,,,,,3459,
walk kcal242 25m37s 2.62k steps,Walk,,242,,,1537000,,,,,,2620,
walk 1639sec 2622steps,Walk,,,,,1639000,,,,,,2622,
walk 35min 12.19m gain 264kcal,Walk,,264,,,2100000,12.19,,,,,,
treadmill 5.04k 35.7min avg164,Treadmill,164,,5.04,km,2142000,,425,,,8.47,,
walk 245kcal 22m11s 124bpm steps2203,Walk,124,245,,,1331000,,,,,,2203,
walk 1366steps +15.24m kcal134 15min 22sec 111bpm,Walk,111,134,,,922000,15.24,,,,,1366,
walk 16m13s 101hr,Walk,101,,,,973000,,,,,,,
walk 105 bpm 33m17s elev15.24m,Walk,105,,,,1997000,15.24,,,,,,
walk steps2636 hr116 26 min elev6.1m 242kcal,Walk,116,242,,,1560000,6.1,,,,,2636,
walk 218kcal 108 bpm 1536s 2.5k steps,Walk,108,218,,,1536000,,,,,,2500,
walk 6.1m gain 19min 38sec 1.84k steps,Walk,,,,,1178000,6.1,,,,,1840,
walk 100hr 2051 steps 21min 20sec kcal184,Walk,100,184,,,1280000,,,,,,2051,
walk kcal269 b111 32.4min,Walk,111,269,,,1944000,,,,,,,
walk up9.14m b112 2.26ksteps 22m11s kcal202,Walk,112,202,,,1331000,9.14,,,,,2260,
walk 112 bpm 1331sec,Walk,112,,,,1331000,,,,,,,
walk 30 min 2.79ksteps 254kcal 103b,Walk,103,254,,,1800000,,,,,,2790,
walk 29min 296kcal +9.14m,Walk,,296,,,1740000,9.14,,,,,,
walk steps2.67k 28.2 259kcal 110 bpm,Walk,110,259,,,1692000,,,,,,2670,
walk 123hr kcal280 +9.14m 25min 36sec,Walk,123,280,,,1536000,9.14,,,,,,
walk min24 226kcal,Walk,,226,,,1440000,,,,,,,
walk 1723 steps 29min 52sec kcal188 gain15.24m,Walk,,188,,,1792000,15.24,,,,,1723,
walk 217kcal 1332sec,Walk,,217,,,1332000,,,,,,,
hockey 370kcal 50 min,Hockey,,370,,,3000000,,,,,,,
cross country skiing 39min 42sec steps3236 248kcal km2.1,Cross Country Skiing,,248,2.1,km,2382000,,1134.29,,,3.17,3236,
cross country skiing km2.66 407.82m gain 48.8min,Cross Country Skiing,,,2.66,km,2928000,407.82,1100.75,,,3.27,,
cross country skiing 54min 2.55km 62.18m gain 131bpm kcal321 steps3.82k,Cross Country Skiing,131,321,2.55,km,3240000,62.18,1270.59,,,2.83,3820,
run 1.35ksteps 12.2min km1.16,Run,,,1.16,km,732000,,631.03,,,5.7,1350,
treadmill 37 min 278kcal bpm142 4.54k,Treadmill,142,278,4.54,km,2220000,,488.99,,,7.36,,
run 146bpm 0.58 mi kcal61 468sec,Run,146,61,0.93,km,468000,,501.38,,,7.18,,
run step6075 41.5min 5.6 km,Run,,,5.6,km,2490000,,444.64,,,8.1,6075,
walk 2243 steps elev3.05m bpm109 kcal107 23m2s,Walk,109,107,,,1382000,3.05,,,,,2243,
walk sec1792 161kcal 2.44ksteps 98 bpm,Walk,98,161,,,1792000,,,,,,2440,
run 364kcal 56.8 5792 steps,Run,,364,,,3408000,,,,,,5792,
run elev50.6m 3.23k steps 2.86km kcal182 153b 22min,Run,153,182,2.86,km,1320000,50.6,461.54,,,7.8,3230,
run up87.17m kcal275 3.11 mi 5.29ksteps 148b 2072sec,Run,148,275,5.01,km,2072000,87.17,413.98,,,8.7,5290,
treadmill 178 bpm 3.61k steps 232kcal km3.45 22.5min +205.13m,Treadmill,178,232,3.45,km,1350000,205.13,391.3,,,9.2,3610,
walk 17.1min 1687 steps 106kcal avg116 gain70.1m,Walk,116,106,,,1026000,70.1,,,,,1687,
run 15m56s k2.07 bpm137,Run,137,,2.07,km,956000,,461.84,,,7.79,,
aerobic workout b124 157kcal 29m52s,Aerobic Workout,124,157,,,1792000,,,,,,,
walk avg110 steps7.92k 438kcal 1h27m54s,Walk,110,438,,,5274000,,,,,,7920,
run hr135 49.7 6450 m,Run,135,,6.45,km,2982000,,462.33,,,7.79,,
walk 30.48m gain 77kcal 15.4min step1288 b108,Walk,108,77,,,924000,30.48,,,,,1288,
run 5.21k 36,Run,,,5.21,km,2160000,,414.59,,,8.68,,
walk 1.1k steps 17.1 elev12.19m bpm104,Walk,104,,,,1026000,12.19,,,,,1100,
walk 1455steps elev3.05m 17 min 89kcal hr115,Walk,115,89,,,1020000,3.05,,,,,1455,
walk 17m4s kcal105,Walk,,105,,,1024000,,,,,,,
treadmill 4990m 153 bpm kcal341,Treadmill,153,341,4.99,km,,,,,,,,
walk b120 kcal84 elev41.86m step1362 min15,Walk,120,84,,,900000,41.86,,,,,1362,
walk 1.6k steps 26 min +6.1m,Walk,,,,,1560000,6.1,,,,,1600,
run 271kcal 4.71k,Run,,271,4.71,km,,,,,,,,
sport kcal192 35min,Sport,,192,,,2100000,,,,,,,
aerobic workout 16min 1652 steps,Aerobic Workout,,,,,960000,,,,,,1652,
run 297kcal steps5663 km5.74 sec2272,Run,,297,5.74,km,2272000,,395.82,,,9.1,5663,
run 37min kcal291,Run,,291,,,2220000,,,,,,,
treadmill 142 bpm 46min steps6.03k kcal345,Treadmill,142,345,,,2760000,,,,,,6030,
walk 96kcal 22min 11sec,Walk,,96,,,1331000,,,,,,,
walk 1741s 106.68m gain 2592steps kcal163 avg103,Walk,103,163,,,1741000,106.68,,,,,2592,
run 8 min up1.52m 50kcal 0.88 km 137hr 1053steps,Run,137,50,0.88,km,480000,1.52,545.45,,,6.6,1053,
walk 16m13s b103 93kcal,Walk,103,93,,,973000,,,,,,,
walk 29m52s 162kcal 3.24k steps gain43.64m 114b,Walk,114,162,,,1792000,43.64,,,,,3240,
run 455kcal 148b steps8790 sec3563 elev434.65m mi5.06,Run,148,455,8.14,km,3563000,434.65,437.54,,,8.23,8790,
walk 19min 38sec 108kcal elev48.77m avg114 1834 steps,Walk,114,108,,,1178000,48.77,,,,,1834,
walk 122b kcal88 1677steps 15.3min gain30.48m,Walk,122,88,,,918000,30.48,,,,,1677,
hike bpm114 639kcal gain196.29m 12137 steps mi6.01 115 min,Hike,114,639,9.67,km,6900000,196.29,713.39,,,5.05,12137,
walk kcal296 54m37s avg110,Walk,110,296,,,3277000,,,,,,,
walk step1697 up33.53m 18min 100kcal hr116,Walk,116,100,,,1080000,33.53,,,,,1697,
treadmill 2713sec 5.1k,Treadmill,,,5.1,km,2713000,,531.96,,,6.77,,
treadmill steps5.05k 4.26km 48.1min,Treadmill,,,4.26,km,2886000,,677.46,,,5.31,5050,
walk 36.7min 6.1m gain steps2.56k 151kcal bpm98,Walk,98,151,,,2202000,6.1,,,,,2560,
walk 3390steps avg101 179kcal 36.7,Walk,101,179,,,2202000,,,,,,3390,
run 39min 53sec 5103steps kcal294 85.34m gain km5.45 155bpm,Run,155,294,5.45,km,2393000,85.34,439.08,,,8.2,5103,
run 52m3s kcal400,Run,,400,,,3123000,,,,,,,
run km5.31 2162sec,Run,,,5.31,km,2162000,,407.16,,,8.84,,
walk 79kcal 17.9 elev6.1m 1404steps,Walk,,79,,,1074000,6.1,,,,,1404,
run 1251s km1.74 up31.39m,Run,,,1.74,km,1251000,31.39,718.97,,,5.01,,
run 53.3min gain186.54m kcal442 avg163,Run,163,442,,,3198000,186.54,,,,,,
walk 25min 36sec 2108steps 122kcal,Walk,,122,,,1536000,,,,,,2108,
walk 23.9min +9.14m 119kcal,Walk,,119,,,1434000,9.14,,,,,,
walk bpm100 18min,Walk,100,,,,1080000,,,,,,,
walk b99 steps1.53k 93kcal min20,Walk,99,93,,,1200000,,,,,,1530,
run gain75.29m 35min 17sec 297kcal,Run,,297,,,2117000,75.29,,,,,,
walk 3.05m gain 143kcal 2.55k steps 98hr 32min 25sec,Walk,98,143,,,1945000,3.05,,,,,2550,
walk 29m1s 136kcal 97 bpm 2404 steps,Walk,97,136,,,1741000,,,,,,2404,
walk 103hr min26 2.17ksteps kcal117,Walk,103,117,,,1560000,,,,,,2170,
run 51.2 km8.26 avg154,Run,154,,8.26,km,3072000,,371.91,,,9.68,,
walk 122kcal b99 26min steps2.2k,Walk,99,122,,,1560000,,,,,,2200,
walk kcal87 1550steps b103 18 min 12.19m gain,Walk,103,87,,,1080000,12.19,,,,,1550,
walk kcal75 16m13s,Walk,,75,,,973000,,,,,,,
run kcal308 min40 3.89mi,Run,,308,6.26,km,2400000,,383.37,,,9.39,,
walk 17min 56sec 1.45k steps kcal86 b108,Walk,108,86,,,1076000,,,,,,1450,
walk 17min 55sec 103 bpm kcal80 1419steps gain6.1m,Walk,103,80,,,1075000,6.1,,,,,1419,
run 50.2 elev17.07m 320kcal 5400 m,Run,,320,5.4,km,3012000,17.07,557.78,,,6.45,,
walk 78kcal 16m13s avg105,Walk,105,78,,,973000,,,,,,,
walk kcal86 b103 17m55s,Walk,103,86,,,1075000,,,,,,,
walk 23.9 step1641 kcal101 b100,Walk,100,101,,,1434000,,,,,,1641,
run km8.22 3102sec 374kcal,Run,,374,8.22,km,3102000,,377.37,,,9.54,,
walk 1.54ksteps hr102 +3.05m 16.2min kcal77,Walk,102,77,,,972000,3.05,,,,,1540,
walk 15min kcal75 107hr step1370,Walk,107,75,,,900000,,,,,,1370,
run 241kcal 1819s,Run,,241,,,1819000,,,,,,,
walk 23.7min 99kcal steps1.66k 93b,Walk,93,99,,,1422000,,,,,,1660,
walk 23min 2sec hr101 1607 steps kcal94,Walk,101,94,,,1382000,,,,,,1607,
hike k9.52 957kcal 3h 40min 19sec,Hike,,957,9.52,km,13219000,,1388.55,,,2.59,,
walk 16.2 steps582 kcal42 hr88,Walk,88,42,,,972000,,,,,,582,
sport 108bpm kcal239 52.9 2.75k steps,Sport,108,239,,,3174000,,,,,,2750,
run 40m7s 3.41mi kcal269,Run,,269,5.49,km,2407000,,438.6,,,8.21,,
walk 16min 117bpm 76kcal,Walk,117,76,,,960000,,,,,,,
walk 16min 13sec kcal80 1.48ksteps hr107,Walk,107,80,,,973000,,,,,,1480,
walk 16m13s kcal78 1419steps hr107,Walk,107,78,,,973000,,,,,,1419,
run 226kcal hr153 steps4410 5.06km elev4.27m min28,Run,153,226,5.06,km,1680000,4.27,332.02,,,10.84,4410,
walk elev3.05m 21m20s 111kcal,Walk,,111,,,1280000,3.05,,,,,,
walk 17m55s +6.1m hr110 steps1495 kcal89,Walk,110,89,,,1075000,6.1,,,,,1495,
walk +27.43m 103bpm kcal101 21.3 1.92k steps,Walk,103,101,,,1278000,27.43,,,,,1920,
walk 315kcal 99bpm 4761sec,Walk,99,315,,,4761000,,,,,,,
walk 101kcal 1229sec,Walk,,101,,,1229000,,,,,,,
walk 25m36s up128.02m 104bpm 151kcal,Walk,104,151,,,1536000,128.02,,,,,,
walk 104.1 bpm102 7.7ksteps kcal445,Walk,102,445,,,6246000,,,,,,7700,
treadmill 117.8min km3.31 3.77k steps,Treadmill,,,3.31,km,7068000,,2135.35,,,1.69,3770,
