"activityName","averageHeartRate","calories","distance","distanceUnit","duration","elevationGain","pace","poolLength","poolLengthUnit","speed","steps","swimLengths"
"Walk",100,175,,,1331000,6.1,,,,,1759,
"Walk",108,313,,,2100000,21.34,,,,,3281,
"Walk",111,193,,,1280000,15.24,,,,,2211,
"Walk",101,232,,,1741000,0,,,,,2658,
"Walk",96,284,,,2458000,12.19,,,,,3068,
"Walk",118,319,,,1945000,48.77,,,,,3042,
"Walk",114,264,,,1587000,33.53,,,,,2570,
"Walk",111,195,,,1331000,9.14,,,,,2201,
"Walk",111,252,,,1741000,12.19,,,,,2590,
"Walk",114,234,,,1484000,6.1,,,,,2524,
"Walk",109,222,,,1485000,6.1,,,,,2362,
"Walk",110,250,,,1689000,6.1,,,,,2753,
"Walk",98,331,,,2406000,36.58,,,,,3344,
"Walk",122,242,,,1382000,9.14,,,,,2162,
"Walk",130,218,,,1075000,24.38,,,,,1824,
"Walk",99,226,,,1690000,6.1,,,,,2619,
"Walk",110,226,,,1434000,12.19,,,,,2434,
"Walk",114,283,,,1741000,12.19,,,,,2862,
"Walk",95,138,,,1076000,15.24,,,,,1331,
"Walk",98,127,,,973000,0,,,,,1431,
"Walk",112,351,,,2253000,12.19,,,,,3332,
"Walk",114,412,,,2611000,24.38,,,,,3250,
"Walk",110,406,,,3072000,30.48,,,,,3853,
"Walk",112,249,,,1690000,27.43,,,,,2519,
"Walk",108,325,,,2253000,21.34,,,,,3459,
"Walk",115,242,,,1537000,6.1,,,,,2618,
"Walk",110,250,,,1639000,39.62,,,,,2622,
"Walk",98,264,,,2100000,12.19,,,,,2790,
"Treadmill",164,550,5.04,"Kilometer",2144000,1.83,,,,8.51,4691,
"Walk",124,245,,,1331000,6.1,,,,,2203,
"Walk",111,134,,,922000,15.24,,,,,1366,
"Walk",101,126,,,973000,3.05,,,,,1508,
"Walk",105,263,,,1997000,15.24,,,,,2815,
"Walk",116,242,,,1536000,6.1,,,,,2636,
"Walk",108,218,,,1536000,6.1,,,,,2498,
"Walk",101,149,,,1178000,6.1,,,,,1839,
"Walk",100,184,,,1280000,27.43,,,,,2051,
"Walk",111,269,,,1946000,24.38,,,,,1997,
"Walk",112,202,,,1331000,9.14,,,,,2256,
"Walk",112,197,,,1331000,6.1,,,,,2162,
"Walk",103,254,,,1792000,9.14,,,,,2790,
"Walk",116,296,,,1741000,9.14,,,,,2921,
"Walk",110,259,,,1690000,9.14,,,,,2667,
"Walk",123,280,,,1536000,9.14,,,,,2443,
"Walk",113,226,,,1433000,6.1,,,,,2272,
"Walk",94,188,,,1792000,15.24,,,,,1723,
"Walk",114,217,,,1332000,6.1,,,,,2229,
"Hockey",,370,,,3000000,,,,,,0,
"Cross Country Skiing",132,248,2.1,"Kilometer",2382000,82.91,,,,3.17,3236,
"Cross Country Skiing",139,336,2.66,"Kilometer",2927000,407.82,,,,3.26,4081,
"Cross Country Skiing",131,321,2.55,"Kilometer",3221000,62.18,,,,2.85,3824,
"Run",116,71,1.16,"Kilometer",732000,18.59,629.74,,,5.72,1353,
"Treadmill",142,278,4.54,"Kilometer",2232000,116.13,,,,7.33,5004,
"Run",146,61,0.94,"Kilometer",468000,25.3,484.6,,,7.43,1031,
"Run",147,324,5.6,"Kilometer",2490000,259.99,433.05,,,8.31,6075,
"Walk",109,107,,,1382000,3.05,,,,,2243,
"Walk",98,161,,,1792000,97.54,,,,,2439,
"Run",147,364,5.37,"Kilometer",3408000,80.89,633.9,,,5.68,5792,
"Run",153,182,2.86,"Kilometer",1320000,50.6,437.96,,,8.22,3225,
"Run",148,275,5.01,"Kilometer",2072000,87.17,409.25,,,8.8,5286,
"Treadmill",178,232,3.45,"Kilometer",1350000,205.13,,,,9.22,3607,
"Walk",116,106,,,1024000,70.1,,,,,1687,
"Run",137,107,2.07,"Kilometer",956000,11.58,449.17,,,8.01,2223,
"Aerobic Workout",124,157,,,1792000,,,,,,2150,
"Walk",110,438,,,5274000,97.54,,,,,7921,
"Run",135,359,6.45,"Kilometer",2981000,72.54,461.35,,,7.8,7352,
"Walk",108,77,,,922000,30.48,,,,,1288,
"Run",158,314,5.21,"Kilometer",2160000,83.21,409.91,,,8.78,5631,
"Walk",104,67,,,1025000,12.19,,,,,1095,
"Walk",115,89,,,1024000,3.05,,,,,1455,
"Walk",118,105,,,1024000,76.2,,,,,1513,
"Treadmill",153,341,4.99,"Kilometer",2529000,266.4,,,,7.11,5724,
"Walk",120,84,,,921000,41.86,,,,,1362,
"Walk",100,99,,,1587000,6.1,,,,,1595,
"Run",161,346,1.16,"Kilometer",2470000,243.23,2003.36,,,1.8,5564,
"Run",131,271,4.71,"Kilometer",2348000,90.83,497.71,,,7.23,5821,
"Sport",115,192,,,2099000,,,,,,3081,
"Aerobic Workout",129,96,,,973000,,,,,,1652,
"Run",,297,5.74,"Kilometer",2272000,,395.6,,,9.1,5663,
"Run",148,291,4.57,"Kilometer",2223000,72.24,484.4,,,7.43,5650,
"Treadmill",142,345,4.43,"Kilometer",2779000,227.99,,,,5.7,6031,
"Walk",108,96,,,1331000,3.05,,,,,2191,
"Walk",103,163,,,1741000,106.68,,,,,2592,
"Run",137,50,0.88,"Kilometer",501000,1.52,553.43,,,6.5,1053,
"Walk",103,93,,,973000,73.15,,,,,1361,
"Walk",114,162,,,1792000,43.64,,,,,3241,
"Run",148,455,8.14,"Kilometer",3563000,434.65,417.73,,,8.62,8790,
"Walk",114,108,,,1178000,48.77,,,,,1834,
"Walk",122,88,,,921000,30.48,,,,,1677,
"Hike",114,639,9.67,"Kilometer",6878000,196.29,716.79,,,5.02,12137,
"Walk",110,296,,,3277000,94.49,,,,,5832,
"Walk",116,100,,,1075000,33.53,,,,,1697,
"Treadmill",128,304,5.1,"Kilometer",2713000,137.16,,,,6.7,6031,
"Treadmill",133,304,4.26,"Kilometer",2884000,373.08,,,,5.79,5050,
"Walk",98,151,,,2202000,6.1,,,,,2556,
"Walk",101,179,,,2202000,12.19,,,,,3390,
"Run",155,294,5.45,"Kilometer",2393000,85.34,375.22,,,9.59,5103,
"Run",153,400,7.23,"Kilometer",3123000,141.12,392.64,,,9.17,7042,
"Run",146,276,5.31,"Kilometer",2162000,5.79,372.31,,,9.67,4917,
"Walk",98,79,,,1076000,6.1,,,,,1404,
"Run",119,96,1.74,"Kilometer",1251000,31.39,526.23,,,6.84,1974,
"Run",163,442,8.05,"Kilometer",3199000,186.54,344.52,,,10.45,7415,
"Walk",103,122,,,1536000,15.24,,,,,2108,
"Walk",107,119,,,1433000,9.14,,,,,2162,
"Walk",100,82,,,1076000,0,,,,,1431,
"Walk",99,93,,,1229000,0,,,,,1528,
"Run",155,297,5.78,"Kilometer",2117000,75.29,346.07,,,10.4,5196,
"Walk",98,143,,,1945000,3.05,,,,,2548,
"Walk",97,136,,,1741000,3.05,,,,,2404,
"Walk",103,117,,,1536000,3.05,,,,,2174,
"Run",154,428,8.26,"Kilometer",3074000,47.55,351.12,,,10.25,7582,
"Walk",99,122,,,1536000,24.38,,,,,2195,
"Walk",103,87,,,1075000,12.19,,,,,1550,
"Walk",107,75,,,973000,9.14,,,,,1163,
"Run",145,308,6.26,"Kilometer",2375000,36.88,361.42,,,9.96,5992,
"Walk",108,86,,,1076000,0,,,,,1453,
"Walk",103,80,,,1075000,6.1,,,,,1419,
"Run",135,320,5.4,"Kilometer",3010000,17.07,496.33,,,7.25,5957,
"Walk",105,78,,,973000,3.05,,,,,1470,
"Walk",103,86,,,1075000,3.05,,,,,1500,
"Walk",100,101,,,1434000,0,,,,,1641,
"Run",155,374,8.22,"Kilometer",3102000,51.21,325.5,,,11.06,7152,
"Walk",102,77,,,972000,3.05,,,,,1544,
"Walk",107,75,,,922000,12.19,,,,,1370,
"Run",157,241,5.04,"Kilometer",1819000,17.37,329.47,,,10.93,4454,
"Walk",93,99,,,1423000,0,,,,,1663,
"Walk",101,94,,,1382000,0,,,,,1607,
"Hike",104,957,9.52,"Kilometer",13219000,637.95,1388.32,,,2.59,14866,
"Walk",88,42,,,973000,0,,,,,582,
"Sport",108,239,,,3175000,,,,,,2753,
"Run",146,269,5.49,"Kilometer",2407000,98.76,381.47,,,9.44,5365,
"Walk",117,76,,,973000,0,,,,,1173,
"Walk",107,80,,,973000,0,,,,,1480,
"Walk",107,78,,,973000,18.29,,,,,1419,
"Run",153,226,5.06,"Kilometer",1665000,4.27,328.88,,,10.95,4410,
"Walk",112,111,,,1280000,3.05,,,,,2101,
"Walk",110,89,,,1075000,6.1,,,,,1495,
"Walk",103,101,,,1280000,27.43,,,,,1922,
"Walk",99,315,,,4761000,54.86,,,,,5182,
"Walk",108,101,,,1229000,24.38,,,,,1873,
"Walk",104,151,,,1536000,128.02,,,,,2183,
"Walk",102,445,,,6246000,70.1,,,,,7697,
"Treadmill",127,313,3.31,"Kilometer",7065000,67.67,,,,3.48,3771,
"Sport",103,173,,,2662000,,,,,,2480,
"Walk",109,165,,,1895000,30.48,,,,,3280,
"Run",145,241,4.93,"Kilometer",1967000,78.03,387.99,,,9.28,4749,
"Sport",123,159,,,1638000,,,,,,1680,
"Walk",112,91,,,973000,48.77,,,,,1203,
"Treadmill",141,300,5.22,"Kilometer",2578000,46.03,,,,7.27,5497,
"Walk",101,108,,,1126000,73.15,,,,,1496,
"Run",157,391,6.35,"Kilometer",2754000,125.88,420.51,,,8.56,6732,
"Sport",98,245,,,3789000,,,,,,3630,
"Aerobic Workout",127,160,,,1588000,,,,,,2967,
"Cross Country Skiing",120,377,,,4096000,,,,,,5994,
"Walk",107,216,,,2662000,42.67,,,,,4218,
"Aerobic Workout",105,182,,,1894000,,,,,,2952,
"Sport",103,90,,,1075000,,,,,,1388,
"Aerobic Workout",100,81,,,921000,,,,,,1432,
"Hike",103,163,1.27,"Kilometer",1865000,207.83,1467.54,,,2.45,1869,
"Walk",96,162,,,2048000,3.05,,,,,3037,
"Run",154,262,4.85,"Kilometer",1898000,75.59,390.77,,,9.21,4756,
"Tennis",108,453,3.72,"Kilometer",7723000,14.63,,,,1.73,5606,
"Run",146,363,7.3,"Kilometer",2778000,86.87,375.67,,,9.58,7111,
"Hike",,659,4,"Kilometer",6180000,0,1545,,,2.33,5943,
"Walk",114,251,,,2765000,79.25,,,,,4835,
"Run",158,263,4.7,"Kilometer",1890000,77.42,375.91,,,9.58,4575,
"Hike",97,111,0.63,"Kilometer",1697000,97.74,2684.83,,,1.34,1063,
"Cross Country Skiing",107,308,3.83,"Kilometer",4583000,290.47,,,,4.22,5535,
"Walk",105,206,,,2509000,85.34,,,,,3925,
"Run",151,520,9.15,"Kilometer",3810000,162.46,415.59,,,8.66,9817,
"Run",158,31,0.57,"Kilometer",243000,1.83,411.49,,,8.75,595,
"Run",152,374,6.52,"Kilometer",3223000,227.38,418.13,,,8.61,6757,
"Run",153,440,7.68,"Kilometer",3153000,106.38,396.79,,,9.07,7793,
"Walk",107,185,,,2151000,54.86,,,,,3564,
"Sport",111,139,,,1587000,,,,,,2437,
"Walk",108,349,,,3994000,79.25,,,,,6419,
"Sport",112,235,,,2714000,,,,,,3322,
"Cross Country Skiing",122,173,,,1639000,,,,,,2300,
"Walk",99,131,,,1075000,18.29,,,,,1110,
"Walk",102,221,,,1536000,33.53,,,,,2311,
"Outdoor Bike",108,170,,,1229000,37.74,,,,,,
"Outdoor Bike",110,165,,,1126000,32,,,,,,
"Walk",91,254,,,2560000,21.34,,,,,2214,
"Run",142,408,3.7,"Kilometer",1726000,28.35,463.86,,,7.76,4283,
"Walk",93,88,,,922000,0,,,,,900,
"Outdoor Bike",106,298,,,2201000,19.56,,,,,,
"Outdoor Bike",121,179,,,1076000,42.67,,,,,,
"Outdoor Bike",106,398,,,2868000,24.38,,,,,,
"Walk",103,430,,,3277000,6.1,,,,,3419,
"Walk",97,267,,,2406000,15.24,,,,,3147,
"Outdoor Bike",113,180,,,1076000,42.67,,,,,,
"Outdoor Bike",116,177,,,1075000,30.48,,,,,,
"Walk",137,265,,,1228000,0,,,,,2382,
"Walk",98,158,,,1331000,20.68,,,,,1409,
"Walk",97,124,,,973000,15.24,,,,,1124,
"Outdoor Bike",105,173,,,1178000,45.72,,,,,,
"Outdoor Bike",99,279,,,2355000,24.38,,,,,,
"Walk",110,192,,,1280000,24.38,,,,,1576,
"Walk",108,154,,,1075000,27.43,,,,,1416,
"Walk",118,236,,,1280000,0,,,,,1931,
"Walk",98,693,,,5888000,36.32,,,,,7381,
"Outdoor Bike",104,187,,,1331000,36.58,,,,,,
"Outdoor Bike",99,138,,,1075000,28.24,,,,,,
"Outdoor Bike",111,137,,,1126000,0,,,,,,
"Walk",105,433,,,3533000,36.58,,,,,3543,
"Walk",98,181,,,1587000,0,,,,,1669,
"Walk",103,197,,,1485000,6.1,,,,,1844,
"Walk",103,257,,,1998000,45.72,,,,,2404,
"Outdoor Bike",108,155,,,1025000,39.62,,,,,,
"Walk",102,295,,,2253000,51.82,,,,,2839,
"Walk",106,157,,,1178000,12.19,,,,,1365,
"Outdoor Bike",101,161,,,1331000,9.14,,,,,,
"Outdoor Bike",97,140,,,1178000,27.43,,,,,,
"Run",111,479,3.8,"Kilometer",2756000,128.32,717.89,,,5.01,5142,
"Walk",101,149,,,1178000,15.24,,,,,1342,
"Outdoor Bike",111,188,,,1229000,42.67,,,,,,
"Outdoor Bike",102,154,,,1177000,30.68,,,,,,
"Walk",106,145,,,1075000,21.34,,,,,1207,
"Outdoor Bike",104,170,,,1280000,32.41,,,,,,
"Outdoor Bike",97,135,,,1126000,33.22,,,,,,
"Outdoor Bike",108,164,,,1127000,45.72,,,,,,
"Outdoor Bike",104,198,,,1536000,23.11,,,,,,
"Walk",104,139,,,922000,0,,,,,1609,
"Walk",115,177,,,1178000,15.24,,,,,1384,
"Walk",104,284,,,2048000,45.72,,,,,2874,
"Outdoor Bike",107,169,,,1178000,33.53,,,,,,
"Outdoor Bike",104,170,,,1280000,31.8,,,,,,
"Walk",110,283,,,1895000,76.2,,,,,2709,
"Walk",105,108,,,921000,0,,,,,756,
"Walk",92,233,,,1945000,0,,,,,2304,
"Walk",100,131,,,1177000,12.19,,,,,1251,
"Walk",97,140,,,1433000,0,,,,,1105,
"Walk",97,706,,,6042000,48.77,,,,,7695,
"Walk",97,163,,,1434000,6.1,,,,,1536,
"Run",107,412,3.45,"Kilometer",3084000,75.9,815.19,,,4.42,4687,
"Treadmill",129,385,2.67,"Kilometer",2000000,6.1,,,,5.14,3657,
"Walk",105,652,,,5479000,70.1,,,,,6013,
"Walk",103,131,,,922000,9.14,,,,,1230,
"Walk",99,115,,,973000,0,,,,,1280,
"Treadmill",133,411,4.22,"Kilometer",1826000,3.66,,,,8.34,4591,
"Walk",94,646,,,5481000,24.38,,,,,6409,
"Walk",101,337,,,2611000,30.48,,,,,2886,
"Walk",97,314,,,2611000,39.62,,,,,3071,
"Walk",100,460,,,3380000,42.67,,,,,4090,
"Walk",99,180,,,1332000,0,,,,,1925,
"Treadmill",144,665,5.13,"Kilometer",2691000,12.8,,,,6.83,5687,
"Outdoor Bike",99,163,,,1229000,36.58,,,,,,
"Outdoor Bike",107,329,,,2355000,12.19,,,,,,
"Walk",107,459,,,3380000,27.43,,,,,3797,
"Outdoor Bike",111,262,,,1792000,6.1,,,,,,
"Outdoor Bike",122,200,,,1126000,39.62,,,,,,
"Outdoor Bike",102,281,,,2048000,21.34,,,,,,
"Walk",107,183,,,1280000,15.24,,,,,1480,
"Walk",95,135,,,1177000,12.19,,,,,1238,
"Walk",96,119,,,921000,3.05,,,,,1075,
"Walk",104,266,,,1843000,27.43,,,,,2352,
"Walk",95,144,,,1177000,12.19,,,,,1413,
"Walk",91,225,,,2048000,21.34,,,,,1962,
"Walk",102,136,,,973000,15.24,,,,,1258,
"Outdoor Bike",109,171,,,1126000,21.34,,,,,,
"Outdoor Bike",88,88,,,1075000,12.19,,,,,,
"Walk",98,297,,,2201000,36.58,,,,,2684,
"Walk",110,202,,,1280000,0,,,,,2123,
"Outdoor Bike",106,235,,,1843000,0,,,,,,
"Outdoor Bike",107,163,,,1177000,18.29,,,,,,
"Walk",101,233,,,1741000,27.43,,,,,2015,
"Outdoor Bike",111,179,,,1177000,33.53,,,,,,
"Outdoor Bike",107,295,,,2099000,6.1,,,,,,
"Walk",101,159,,,1331000,21.34,,,,,1274,
"Walk",105,168,,,1178000,24.38,,,,,1516,
"Walk",105,513,,,3481000,36.58,,,,,5769,
"Run",104,376,2.75,"Kilometer",2827000,116.13,874.23,,,4.12,3888,
"Walk",102,194,,,1331000,15.24,,,,,2016,
"Walk",101,594,,,4557000,12.19,,,,,5453,
"Outdoor Bike",102,157,,,1229000,24.38,,,,,,
"Outdoor Bike",107,172,,,1178000,36.58,,,,,,
"Outdoor Bike",113,165,,,1075000,30.48,,,,,,
"Outdoor Bike",104,195,,,1588000,21.34,,,,,,
"Walk",96,243,,,2150000,6.1,,,,,2278,
"Outdoor Bike",101,349,,,2611000,18.29,,,,,,
"Walk",101,188,,,1280000,21.34,,,,,1860,
"Outdoor Bike",112,289,,,1997000,33.53,,,,,,
"Outdoor Bike",114,162,,,1076000,12.19,,,,,,
"Outdoor Bike",92,153,,,1127000,36.58,,,,,,
"Outdoor Bike",93,114,,,1228000,15.24,,,,,,
"Outdoor Bike",101,74,,,921000,2.49,,,,,,
"Outdoor Bike",119,190,,,1178000,33.53,,,,,,
"Outdoor Bike",104,153,,,1126000,24.38,,,,,,
"Walk",108,168,,,1126000,21.34,,,,,1345,
"Bike",128,104,0,"Kilometer",595000,0,,,,0,,
"Bike",137,62,0,"Kilometer",305000,0,,,,0,,
"Walk",102,191,,,1536000,0,,,,,2016,
"Walk",100,219,,,1587000,9.14,,,,,2388,
"Walk",104,239,,,1690000,27.43,,,,,1993,
"Outdoor Bike",85,117,,,1126000,27.43,,,,,,
"Outdoor Bike",94,131,,,1126000,27.43,,,,,,
"Outdoor Bike",94,124,,,1024000,21.18,,,,,,
"Outdoor Bike",96,132,,,1126000,18.29,,,,,,
"Outdoor Bike",104,147,,,1126000,7.06,,,,,,
"Outdoor Bike",100,145,,,1177000,15.24,,,,,,
"Walk",114,204,,,1126000,18.29,,,,,1357,
"Outdoor Bike",86,101,,,973000,21.34,,,,,,
"Walk",102,197,,,1485000,42.67,,,,,1802,
"Walk",101,164,,,1229000,21.34,,,,,1407,
"Walk",104,132,,,973000,18.29,,,,,1258,
"Walk",108,160,,,973000,54.86,,,,,1624,
"Walk",105,143,,,1076000,18.29,,,,,1217,
"Walk",98,307,,,2355000,64.01,,,,,2794,
"Walk",97,483,,,4045000,70.1,,,,,4951,
"Walk",105,717,,,5120000,128.02,,,,,7454,
"Walk",101,918,,,7066000,170.69,,,,,9751,
"Walk",97,111,,,973000,4.22,,,,,1107,
"Walk",96,129,,,1127000,9.14,,,,,1096,
"Walk",111,249,,,1587000,70.1,,,,,2286,
"Walk",101,441,,,3379000,39.62,,,,,5403,
"Walk",104,181,,,1433000,16.92,,,,,1635,
"Walk",103,148,,,1229000,15.24,,,,,1362,
"Outdoor Bike",105,132,,,1178000,13,,,,,,
"Walk",106,205,,,1536000,39.62,,,,,1984,
"Walk",106,157,,,1127000,36.58,,,,,1519,
"Walk",100,429,,,3225000,94.49,,,,,4473,
"Walk",102,222,,,1331000,3.05,,,,,2218,
"Walk",73,145,,,973000,20.68,,,,,1698,
"Walk",99,142,,,1024000,9.14,,,,,1095,
"Outdoor Bike",110,197,,,1280000,27.43,,,,,,
"Run",153,662,7,"Kilometer",2363000,91.75,338.48,,,10.64,6769,
"Run",169,793,7.19,"Kilometer",2625000,100.28,364.27,,,9.88,7385,
"Outdoor Bike",96,127,,,1126000,15.34,,,,,,
"Outdoor Bike",112,248,,,1536000,18.29,,,,,,
"Outdoor Bike",99,135,,,1127000,9.14,,,,,,
"Outdoor Bike",93,128,,,1281000,9.14,,,,,,
"Outdoor Bike",77,104,,,1229000,18.29,,,,,,
"Outdoor Bike",121,221,,,1178000,15.24,,,,,,
"Outdoor Bike",69,57,,,1434000,3.05,,,,,,
"Treadmill",147,476,4.88,"Kilometer",1802000,235.61,,,,9.68,5013,
"Treadmill",142,500,5.27,"Kilometer",1938000,119.79,,,,9.81,5417,
"Treadmill",143,554,5.05,"Kilometer",2119000,39.62,,,,8.51,5467,
"Treadmill",123,678,7.77,"Kilometer",3404000,62.18,,,,9.26,8042,
"Treadmill",135,676,7.17,"Kilometer",2764000,105.46,,,,9.29,7465,
"Treadmill",133,520,5,"Kilometer",2158000,49.38,,,,8.34,5442,
"Treadmill",118,580,7,"Kilometer",2732000,204.22,,,,9.24,7256,
"Walk",105,137,,,922000,0,,,,,1062,
"Run",142,613,6.7,"Kilometer",2408000,145.69,358.62,,,10.04,6626,
"Run",144,474,4.54,"Kilometer",1934000,35.97,399.21,,,9.02,4985,
"Walk",110,285,,,1536000,3.05,,,,,3023,
"Walk",104,256,,,1485000,18.29,,,,,2869,
"Outdoor Bike",115,235,,,1382000,21.34,,,,,,
"Outdoor Bike",83,84,,,1075000,12.19,,,,,,
"Outdoor Bike",116,241,,,1434000,15.24,,,,,,
"Outdoor Bike",88,82,,,1229000,3.05,,,,,,
"Treadmill",147,240,1.94,"Kilometer",970000,15.55,,,,7.75,2291,
"Treadmill",162,412,3.6,"Kilometer",1479000,47.55,,,,9.16,4078,
"Treadmill",141,458,4.3,"Kilometer",1825000,68.89,,,,8.6,4955,
"Run",150,638,6.52,"Kilometer",2421000,354.48,369.05,,,9.75,6495,
"Walk",100,164,,,1206000,12.19,,,,,1460,
"Walk",100,169,,,1229000,0,,,,,1476,
"Treadmill",135,419,4.04,"Kilometer",1989000,35.36,,,,7.93,4809,
"Walk",98,160,,,973000,9.14,,,,,1832,
"Walk",94,150,,,921000,15.24,,,,,1682,
"Treadmill",128,512,4.61,"Kilometer",2371000,143.26,,,,6.91,5786,
"Treadmill",106,341,3.72,"Kilometer",1803000,5.49,,,,7.44,4568,
"Outdoor Bike",99,146,,,1177000,3.05,,,,,,
"Outdoor Bike",116,221,,,1331000,42.67,,,,,,
"Treadmill",127,376,2.51,"Kilometer",1822000,4.57,,,,4.98,3605,
"Outdoor Bike",120,234,,,1332000,60.96,,,,,,
"Run",144,558,6.2,"Kilometer",2282000,70.1,372.5,,,9.66,6315,
"Treadmill",126,382,4.67,"Kilometer",1808000,103.94,,,,9.26,4812,
"Run",145,582,6.19,"Kilometer",2421000,259.69,381.96,,,9.43,6449,
"Outdoor Bike",83,102,,,1177000,21.34,,,,,,
"Outdoor Bike",112,226,,,1382000,24.38,,,,,,
"Outdoor Bike",94,131,,,1075000,33.53,,,,,,
"Treadmill",138,529,5.61,"Kilometer",2224000,184.71,,,,9.02,5856,
"Outdoor Bike",118,223,,,1280000,30.48,,,,,,
"Outdoor Bike",97,144,,,1280000,30.48,,,,,,
"Outdoor Bike",97,161,,,1484000,12.19,,,,,,
"Outdoor Bike",87,102,,,1075000,27.43,,,,,,
"Outdoor Bike",107,201,,,1434000,15.24,,,,,,
"Outdoor Bike",93,124,,,1178000,15.24,,,,,,
"Outdoor Bike",102,176,,,1536000,6.1,,,,,,
"Outdoor Bike",79,112,,,1433000,15.24,,,,,,
"Walk",89,253,,,2253000,18.29,,,,,2241,
"Treadmill",136,287,2.95,"Kilometer",1206000,0.31,,,,8.83,3113,
"Outdoor Bike",109,225,,,1536000,9.14,,,,,,
"Outdoor Bike",83,105,,,1177000,30.48,,,,,,
"Treadmill",111,319,2.88,"Kilometer",1806000,0,,,,5.68,3594,
"Outdoor Bike",106,209,,,1485000,15.24,,,,,,
"Outdoor Bike",93,146,,,1331000,15.24,,,,,,
"Outdoor Bike",105,203,,,1434000,15.24,,,,,,
"Outdoor Bike",93,113,,,1178000,15.24,,,,,,
"Walk",110,189,,,1076000,0,,,,,1864,
"Walk",101,171,,,1331000,3.05,,,,,1519,
"Treadmill",116,362,4.45,"Kilometer",1804000,19.2,,,,8.81,4728,
"Outdoor Bike",113,232,,,1536000,12.19,,,,,,
"Outdoor Bike",84,106,,,1331000,12.19,,,,,,
"Outdoor Bike",101,174,,,1536000,6.1,,,,,,
"Outdoor Bike",87,107,,,1024000,15.24,,,,,,
"Walk",103,260,,,1690000,3.05,,,,,2819,
"Walk",107,242,,,1383000,21.34,,,,,2597,
"Outdoor Bike",100,146,,,1331000,9.14,,,,,,
"Outdoor Bike",71,68,,,1075000,6.1,,,,,,
"Outdoor Bike",77,101,,,1433000,27.43,,,,,,
"Outdoor Bike",95,122,,,1126000,18.29,,,,,,
"Walk",101,215,,,1485000,9.14,,,,,2225,
"Treadmill",138,290,3.06,"Kilometer",1212000,10.67,,,,9.03,3315,
"Walk",99,153,,,972000,9.14,,,,,1528,
"Walk",96,151,,,1126000,21.34,,,,,1468,
"Outdoor Bike",87,118,,,1229000,18.29,,,,,,
"Outdoor Bike",86,110,,,1177000,21.34,,,,,,
"Treadmill",146,303,2.88,"Kilometer",1213000,86.87,,,,8.53,3237,
"Run",114,23,0.26,"Kilometer",152000,1.83,580.78,,,6.2,322,
"Outdoor Bike",105,176,,,1382000,0,,,,,,
"Outdoor Bike",87,99,,,1075000,15.24,,,,,,
"Outdoor Bike",112,179,,,1177000,9.14,,,,,,
"Outdoor Bike",89,113,,,1229000,15.24,,,,,,
"Run",128,158,1.38,"Kilometer",1070000,28.65,551.46,,,6.53,1651,
"Walk",126,271,,,1332000,33.53,,,,,2640,
"Outdoor Bike",99,170,,,1485000,12.19,,,,,,
"Outdoor Bike",84,120,,,1229000,15.24,,,,,,
"Treadmill",156,403,3.69,"Kilometer",1495000,42.67,,,,9,4274,
"Walk",108,175,,,1024000,6.1,,,,,1630,
"Walk",110,203,,,1229000,21.34,,,,,1718,
"Walk",89,148,,,1127000,27.43,,,,,1417,
"Outdoor Bike",115,236,,,1433000,18.29,,,,,,
"Outdoor Bike",99,125,,,1075000,21.34,,,,,,
"Run",102,39,0.36,"Kilometer",242000,0.61,618.12,,,5.82,423,
"Run",116,46,0.3,"Kilometer",259000,10.67,715.15,,,5.03,372,
"Outdoor Bike",123,288,,,1536000,9.14,,,,,,
"Outdoor Bike",84,82,,,1229000,6.1,,,,,,
"Run",123,117,0.91,"Kilometer",622000,4.57,619.21,,,5.81,1182,
"Outdoor Bike",119,289,,,1587000,6.1,,,,,,
"Outdoor Bike",106,188,,,1280000,6.1,,,,,,
"Treadmill",128,342,3.38,"Kilometer",1502000,63.09,,,,8.02,4103,
"Outdoor Bike",111,239,,,1536000,9.14,,,,,,
"Outdoor Bike",89,128,,,1178000,24.38,,,,,,
"Treadmill",130,403,3.59,"Kilometer",2067000,74.68,,,,7.17,4527,
"Outdoor Bike",129,285,,,1331000,33.53,,,,,,
"Outdoor Bike",105,167,,,1178000,27.43,,,,,,
"Outdoor Bike",128,277,,,1382000,21.34,,,,,,
"Run",163,411,4.27,"Kilometer",1421000,22.25,331.6,,,10.86,4065,
"Walk",112,186,,,1075000,18.29,,,,,1992,
"Walk",89,207,,,1843000,6.1,,,,,1640,
"Run",140,615,6.2,"Kilometer",2467000,180.14,399.41,,,9.01,6821,
"Outdoor Bike",91,118,,,1229000,6.1,,,,,,
"Outdoor Bike",121,250,,,1331000,36.58,,,,,,
"Outdoor Bike",96,140,,,1126000,33.53,,,,,,
"Outdoor Bike",118,248,,,1280000,30.48,,,,,,
"Outdoor Bike",96,153,,,1177000,30.48,,,,,,
"Outdoor Bike",113,234,,,1383000,36.58,,,,,,
"Outdoor Bike",115,200,,,1229000,27.43,,,,,,
"Walk",99,176,,,1177000,18.29,,,,,1641,
"Outdoor Bike",129,265,,,1280000,27.43,,,,,,
"Run",147,411,4.34,"Kilometer",1586000,63.4,364.4,,,9.88,4543,
"Walk",95,134,,,1024000,3.05,,,,,1169,
"Walk",95,178,,,1331000,6.1,,,,,1783,
