input,transactionType,amount,currency,category,description,timeOffset,fromAccount,toAccount
spent 18.89€ family_member_a,expense,18.89,EUR,peer_transfer,family_member_a,PT0M,,
spent 1711.64 den shoes 8 days ago,expense,1711.64,MKD,shopping,Shoes,-P8D,,
haircut -1.67 eur,expense,1.67,EUR,personal_care,Haircut,PT0M,,
spent 1.11e person_b -1h,expense,1.11,EUR,peer_transfer,person_b,-PT1H,,
spent 1€ snacks +1d,expense,1,EUR,food_drink,Snacks,P1D,,
spent €144.44 family_member_b -30d,expense,144.44,EUR,peer_transfer,family_member_b,-P30D,,
spent 0.67 eur breakfast 13 days ago,expense,0.67,EUR,food_drink,Breakfast,-P13D,,
petrol 1.11 eur,expense,1.11,EUR,fuel,Petrol,PT0M,,
snacks -2.78€,expense,2.78,EUR,food_drink,Snacks,PT0M,,
settle -$0.06 19 hours ago,expense,0.06,USD,other,Settle,-PT19H,,
+€252.22 salary 21h ago,income,252.22,EUR,salary,Salary,-PT21H,,
transfer salary bank 2823.97 ден to savings bank,transfer,2823.97,MKD,transfer,Transfer,PT0M,Salary Bank,Savings Bank
ice cream -€0.78,expense,0.78,EUR,food_drink,Ice cream,PT0M,,
juice 0.44 eur,expense,0.44,EUR,food_drink,Juice,PT0M,,
spent 0.22€ auto,expense,0.22,EUR,transport,Auto,PT0M,,
bus -0.11€ -3h,expense,0.11,EUR,transport,Bus,-PT3H,,
bus 0.12usd,expense,0.12,USD,transport,Bus,PT0M,,
spent 0.39 eur rta 14 hours ago,expense,0.39,EUR,transport,RtA,-PT14H,,
atr 23.97 MKD,expense,23.97,MKD,transport,AtR,PT0M,,
recharge 2.22e cash to metro card,transfer,2.22,EUR,transfer,Recharge,PT0M,Cash,Metro Card
adjust balance -€1.17 11h ago,expense,1.17,EUR,balance_adjustment,Adjust balance,-PT11H,,
spent 0.33 eur bus,expense,0.33,EUR,transport,Bus,PT0M,,
spent €0.11 juice 19d ago,expense,0.11,EUR,food_drink,Juice,-P19D,,
spent 0.89e snacks,expense,0.89,EUR,food_drink,Snacks,PT0M,,
withdraw 5.56€ salary bank to cash -20d,transfer,5.56,EUR,transfer,Withdraw,-P20D,Salary Bank,Cash
spent 0.39 eur rta 7 days ago,expense,0.39,EUR,transport,RtA,-P7D,,
family_member_a 5.56€ 8 hours ago,expense,5.56,EUR,peer_transfer,family_member_a,-PT8H,,
recharge 3.12 USD 5 hours ago,expense,3.12,USD,utilities,Recharge,-PT5H,,
+1369.86 den family_member_b,income,1369.86,MKD,family_support,family_member_b,PT0M,,
stonks 2.56€ 9 hours ago,expense,2.56,EUR,financial,Stonks,-PT9H,,
spent 136.99 MKD petrol,expense,136.99,MKD,fuel,Petrol,PT0M,,
rta -0.39e -4d,expense,0.39,EUR,transport,RtA,-P4D,,
snacks 0.28€ tomorrow,expense,0.28,EUR,food_drink,Snacks,P1D,,
rta 0.39 eur,expense,0.39,EUR,transport,RtA,PT0M,,
shawarma 🌯 -2.89e 18d ago,expense,2.89,EUR,food_drink,Shawarma 🌯,-P18D,,
bus pass €4.78,expense,4.78,EUR,transport,Bus pass,PT0M,,
spent 0.39€ rta 3 days ago,expense,0.39,EUR,transport,RtA,-P3D,,
adjust balance €1.22,expense,1.22,EUR,balance_adjustment,Adjust balance,PT0M,,
spent 0.33€ snacks -25d,expense,0.33,EUR,food_drink,Snacks,-P25D,,
rent 45.78 dollar,expense,45.78,USD,housing,Rent,PT0M,,
juice -0.44e,expense,0.44,EUR,food_drink,Juice,PT0M,,
snacks -0.22 eur,expense,0.22,EUR,food_drink,Snacks,PT0M,,
rta 0.39 eur,expense,0.39,EUR,transport,RtA,PT0M,,
spent €0.82 bike 5h ago,expense,0.82,EUR,transport,Bike,-PT5H,,
snacks 71.92 MKD 13 hours ago,expense,71.92,MKD,food_drink,Snacks,-PT13H,,
snacks 0.33e,expense,0.33,EUR,food_drink,Snacks,PT0M,,
bandages -0.09€,expense,0.09,EUR,health,Bandages,PT0M,,
spent 22.22€ family_member_a tomorrow,expense,22.22,EUR,peer_transfer,family_member_a,P1D,,
spent 0.67e doc,expense,0.67,EUR,health,Doc,PT0M,,
juice €1 2h ago,expense,1,EUR,food_drink,Juice,-PT2H,,
shawarma 🌯 -1.67€,expense,1.67,EUR,food_drink,Shawarma 🌯,PT0M,,
spent 0.33e breakfast,expense,0.33,EUR,food_drink,Breakfast,PT0M,,
spent 20.55mkd jalebi -3d,expense,20.55,MKD,food_drink,Jalebi,-P3D,,
family_member_a 11.11e,expense,11.11,EUR,peer_transfer,family_member_a,PT0M,,
spent 0.11 eur juice,expense,0.11,EUR,food_drink,Juice,PT0M,,
spent 2.22e petrol,expense,2.22,EUR,fuel,Petrol,PT0M,,
spent 0.11e snacks,expense,0.11,EUR,food_drink,Snacks,PT0M,,
breakfast -0.33€,expense,0.33,EUR,food_drink,Breakfast,PT0M,,
snacks 0.67€ 29d ago,expense,0.67,EUR,food_drink,Snacks,-P29D,,
rta -23.97 ден,expense,23.97,MKD,transport,RtA,PT0M,,
adjust balance -0.28 eur,expense,0.28,EUR,balance_adjustment,Adjust balance,PT0M,,
atr €0.39,expense,0.39,EUR,transport,AtR,PT0M,,
spent 0.11€ bus 10 hours ago,expense,0.11,EUR,transport,Bus,-PT10H,,
withdraw €2.22 salary bank to cash,transfer,2.22,EUR,transfer,Withdraw,PT0M,Salary Bank,Cash
recharge 2.78e salary bank to metro card 2d ago,transfer,2.78,EUR,transfer,Recharge,-P2D,Salary Bank,Metro Card
rta €0.39 29d ago,expense,0.39,EUR,transport,RtA,-P29D,,
spent 6.85 MKD snacks,expense,6.85,MKD,food_drink,Snacks,PT0M,,
spent 0.39 eur atr,expense,0.39,EUR,transport,AtR,PT0M,,
spent 1.39€ rb 🐂,expense,1.39,EUR,food_drink,RB 🐂,PT0M,,
family_member_a $12.05,expense,12.05,USD,peer_transfer,family_member_a,PT0M,,
netflix -1.1€ 9 days ago,expense,1.1,EUR,entertainment,Netflix,-P9D,,
spent 0.42usd atr 3h ago,expense,0.42,USD,transport,AtR,-PT3H,,
bus -0.11 eur 12 hours ago,expense,0.11,EUR,transport,Bus,-PT12H,,
spent 23.97 ден rta,expense,23.97,MKD,transport,RtA,PT0M,,
snacks -0.22€,expense,0.22,EUR,food_drink,Snacks,PT0M,,
snacks 0.28 eur,expense,0.28,EUR,food_drink,Snacks,PT0M,,
spent 23.97 MKD rta,expense,23.97,MKD,transport,RtA,PT0M,,
atr 0.39€ 20h ago,expense,0.39,EUR,transport,AtR,-PT20H,,
spent €0.89 family_member_a -19d,expense,0.89,EUR,peer_transfer,family_member_a,-P19D,,
recharge salary bank 2.22 eur to metro card,transfer,2.22,EUR,transfer,Recharge,PT0M,Salary Bank,Metro Card
snacks -0.67 eur 6 hours ago,expense,0.67,EUR,food_drink,Snacks,-PT6H,,
laptop fixes $1.81 22d ago,expense,1.81,USD,shopping,Laptop fixes,-P22D,,
juice €1.11,expense,1.11,EUR,food_drink,Juice,PT0M,,
snacks 102.74 MKD 2h ago,expense,102.74,MKD,food_drink,Snacks,-PT2H,,
cab -4.66e,expense,4.66,EUR,transport,Cab,PT0M,,
spent 5.29€ can tmr,expense,5.29,EUR,other,Can,P1D,,
spent $25.95 dinner,expense,25.95,USD,other,Dinner,PT0M,,
spent 684.93mkd gym,expense,684.93,MKD,health,Gym,PT0M,,
snacks -€0.67 12h ago,expense,0.67,EUR,food_drink,Snacks,-PT12H,,
spent €0.39 atr,expense,0.39,EUR,transport,AtR,PT0M,,
rta 23.97mkd -18h,expense,23.97,MKD,transport,RtA,-PT18H,,
spent 60.24usd family_member_a -17d,expense,60.24,USD,peer_transfer,family_member_a,-P17D,,
fancode -6.66 eur -7d,expense,6.66,EUR,entertainment,Fancode,-P7D,,
snacks -41.1 ден 22h ago,expense,41.1,MKD,food_drink,Snacks,-PT22H,,
got +252.22e salary 14d ago,income,252.22,EUR,salary,Salary,-P14D,,
spent 0.5 eur adjust balance in 1d,expense,0.5,EUR,balance_adjustment,Adjust balance,P1D,,
petrol -€1.11 tomorrow,expense,1.11,EUR,fuel,Petrol,P1D,,
family_member_a -€1.11,expense,1.11,EUR,peer_transfer,family_member_a,PT0M,,
family_member_b -€1.67,expense,1.67,EUR,peer_transfer,family_member_b,PT0M,,
bus -0.11€ -12d,expense,0.11,EUR,transport,Bus,-P12D,,
rta -€0.39,expense,0.39,EUR,transport,RtA,PT0M,,
snacks -0.67 eur -13h,expense,0.67,EUR,food_drink,Snacks,-PT13H,,
atr 0.39 eur 12 hours ago,expense,0.39,EUR,transport,AtR,-PT12H,,
spent €0.17 adjust balance -30d,expense,0.17,EUR,balance_adjustment,Adjust balance,-P30D,,
bus -6.85 den 17 hours ago,expense,6.85,MKD,transport,Bus,-PT17H,,
spent 0.42 USD rta 11h ago,expense,0.42,USD,transport,RtA,-PT11H,,
shawarma 🌯 1.56 eur -1h,expense,1.56,EUR,food_drink,Shawarma 🌯,-PT1H,,
bus -0.11€ 3h ago,expense,0.11,EUR,transport,Bus,-PT3H,,
spent 0.39e snacks,expense,0.39,EUR,food_drink,Snacks,PT0M,,
atr 23.97mkd,expense,23.97,MKD,transport,AtR,PT0M,,
withdraw savings bank €5.56 to cash,transfer,5.56,EUR,transfer,Withdraw,PT0M,Savings Bank,Cash
bus -0.11€,expense,0.11,EUR,transport,Bus,PT0M,,
snacks -0.67€ -18h,expense,0.67,EUR,food_drink,Snacks,-PT18H,,
recharge savings bank €2.22 to metro card,transfer,2.22,EUR,transfer,Recharge,PT0M,Savings Bank,Metro Card
got +10.44€ adjust balance 12h ago,income,10.44,EUR,balance_adjustment,Adjust balance,-PT12H,,
adjust balance -€0.11,expense,0.11,EUR,balance_adjustment,Adjust balance,PT0M,,
spent 6.85 den bus,expense,6.85,MKD,transport,Bus,PT0M,,
atr -0.39€,expense,0.39,EUR,transport,AtR,PT0M,,
rta -0.39 eur,expense,0.39,EUR,transport,RtA,PT0M,,
family_member_a -2.22e,expense,2.22,EUR,peer_transfer,family_member_a,PT0M,,
family_member_b -0.56 eur -18d,expense,0.56,EUR,peer_transfer,family_member_b,-P18D,,
snacks -0.56 eur 9 hours ago,expense,0.56,EUR,food_drink,Snacks,-PT9H,,
spent 23.97 ден snacks,expense,23.97,MKD,food_drink,Snacks,PT0M,,
spent $0.3 snacks,expense,0.3,USD,food_drink,Snacks,PT0M,,
bus 0.11e 23d ago,expense,0.11,EUR,transport,Bus,-P23D,,
spent 0.39e rta,expense,0.39,EUR,transport,RtA,PT0M,,
bus -0.11€,expense,0.11,EUR,transport,Bus,PT0M,,
atr -23.97 MKD,expense,23.97,MKD,transport,AtR,PT0M,,
bb -0.56€,expense,0.56,EUR,other,Bb,PT0M,,
spent 0.11e bus 16d ago,expense,0.11,EUR,transport,Bus,-P16D,,
rta 0.39€,expense,0.39,EUR,transport,RtA,PT0M,,
spent 2€ stonks,expense,2,EUR,financial,Stonks,PT0M,,
bus -0.11€ 7h ago,expense,0.11,EUR,transport,Bus,-PT7H,,
atr -23.97 ден,expense,23.97,MKD,transport,AtR,PT0M,,
snacks 0.33€,expense,0.33,EUR,food_drink,Snacks,PT0M,,
spent 0.12 dollar bus,expense,0.12,USD,transport,Bus,PT0M,,
rta -€0.39,expense,0.39,EUR,transport,RtA,PT0M,,
recharge 2.88 eur,expense,2.88,EUR,utilities,Recharge,PT0M,,
play store 0.11usd -29d,expense,0.11,USD,entertainment,Play store,-P29D,,
bus -€0.11,expense,0.11,EUR,transport,Bus,PT0M,,
spent 0.39e rta -3h,expense,0.39,EUR,transport,RtA,-PT3H,,
spent 0.39 eur atr,expense,0.39,EUR,transport,AtR,PT0M,,
bus -0.11€,expense,0.11,EUR,transport,Bus,PT0M,,
rta -23.97mkd,expense,23.97,MKD,transport,RtA,PT0M,,
spent €0.39 atr 27d ago,expense,0.39,EUR,transport,AtR,-P27D,,
recharge €3.33 savings bank to metro card 25 days ago,transfer,3.33,EUR,transfer,Recharge,-P25D,Savings Bank,Metro Card
withdraw savings bank 2.56 eur to cash,transfer,2.56,EUR,transfer,Withdraw,PT0M,Savings Bank,Cash
biryani 🍚 -€2.78,expense,2.78,EUR,food_drink,Biryani 🍚,PT0M,,
juice €0.44 3 hours ago,expense,0.44,EUR,food_drink,Juice,-PT3H,,
snacks -0.44 eur -22h,expense,0.44,EUR,food_drink,Snacks,-PT22H,,
spent 1.67 eur book 2 hours ago,expense,1.67,EUR,education,Book,-PT2H,,
entry fee 0.56e,expense,0.56,EUR,entertainment,Entry fee,PT0M,,
bus pass -4.78€ 22h ago,expense,4.78,EUR,transport,Bus pass,-PT22H,,
spent 0.24usd juice,expense,0.24,USD,food_drink,Juice,PT0M,,
spent €0.18 adjust balance 19d ago,expense,0.18,EUR,balance_adjustment,Adjust balance,-P19D,,
got +1.44€ adjust balance,income,1.44,EUR,balance_adjustment,Adjust balance,PT0M,,
spent 0.39e rta 4 hours ago,expense,0.39,EUR,transport,RtA,-PT4H,,
spent 0.39 eur atr 19d ago,expense,0.39,EUR,transport,AtR,-P19D,,
rta 23.97 ден 27 days ago,expense,23.97,MKD,transport,RtA,-P27D,,
snack €1.11,expense,1.11,EUR,food_drink,Snack,PT0M,,
spent 1.2 USD petrol 19d ago,expense,1.2,USD,fuel,Petrol,-P19D,,
spent 1.11€ petrol,expense,1.11,EUR,fuel,Petrol,PT0M,,
rta 0.42 USD,expense,0.42,USD,transport,RtA,PT0M,,
recharge 136.99 ден savings bank to metro card tmr,transfer,136.99,MKD,transfer,Recharge,P1D,Savings Bank,Metro Card
spent €0.39 atr,expense,0.39,EUR,transport,AtR,PT0M,,
bus 0.11€ 14 days ago,expense,0.11,EUR,transport,Bus,-P14D,,
spent 0.39€ rta,expense,0.39,EUR,transport,RtA,PT0M,,
bus 0.11 eur -20d,expense,0.11,EUR,transport,Bus,-P20D,,
got +€0.02 adjust balance 16d ago,income,0.02,EUR,balance_adjustment,Adjust balance,-P16D,,
snacks 89.04 ден 17 hours ago,expense,89.04,MKD,food_drink,Snacks,-PT17H,,
spent €0.5 snacks,expense,0.5,EUR,food_drink,Snacks,PT0M,,
auto -0.22e,expense,0.22,EUR,transport,Auto,PT0M,,
snacks -1.61e 21h ago,expense,1.61,EUR,food_drink,Snacks,-PT21H,,
pants €11.09 13 days ago,expense,11.09,EUR,shopping,Pants,-P13D,,
spent 69.86 ден ice cream -18h,expense,69.86,MKD,food_drink,Ice cream,-PT18H,,
spent 2.74€ pizza,expense,2.74,EUR,food_drink,Pizza,PT0M,,
shirt -11.1€ -16h,expense,11.1,EUR,shopping,Shirt,-PT16H,,
pant 8.88e,expense,8.88,EUR,shopping,Pant,PT0M,,
rta €0.39,expense,0.39,EUR,transport,RtA,PT0M,,
spent €0.01 upi lite +1d,expense,0.01,EUR,financial,UPI lite,P1D,,
spent 4.89 eur bus pass,expense,4.89,EUR,transport,Bus Pass,PT0M,,
family_member_a 11.11 eur,expense,11.11,EUR,peer_transfer,family_member_a,PT0M,,
withdraw savings bank 4.44e to cash,transfer,4.44,EUR,transfer,Withdraw,PT0M,Savings Bank,Cash
snacks 1€,expense,1,EUR,food_drink,Snacks,PT0M,,
exam 273.97mkd,expense,273.97,MKD,education,Exam,PT0M,,
adjust balance €0.44,expense,0.44,EUR,balance_adjustment,Adjust balance,PT0M,,
+0.05e stonks 5h ago,income,0.05,EUR,investment_income,Stonks,-PT5H,,
family_member_a birthday 574.66 MKD,expense,574.66,MKD,peer_transfer,family_member_a birthday,PT0M,,
auto -€0.22 -28d,expense,0.22,EUR,transport,Auto,-P28D,,
family_member_a -22.22€,expense,22.22,EUR,peer_transfer,family_member_a,PT0M,,
petrol -€2.22,expense,2.22,EUR,fuel,Petrol,PT0M,,
spent 3.32e book 27 days ago,expense,3.32,EUR,education,Book,-P27D,,
netflix -1.1€,expense,1.1,EUR,entertainment,Netflix,PT0M,,
snacks -$0.48,expense,0.48,USD,food_drink,Snacks,PT0M,,
petrol €1.11,expense,1.11,EUR,fuel,Petrol,PT0M,,
person_b -1.11€ 2h ago,expense,1.11,EUR,peer_transfer,person_b,-PT2H,,
gym $12.05 in 1d,expense,12.05,USD,health,Gym,P1D,,
milk -60.27 den tomorrow,expense,60.27,MKD,groceries,Milk,P1D,,
petrol 68.49 MKD,expense,68.49,MKD,fuel,Petrol,PT0M,,
person_c 2.22€ 14 hours ago,expense,2.22,EUR,peer_transfer,person_c,-PT14H,,
family_member_a -€55.56 19d ago,expense,55.56,EUR,peer_transfer,family_member_a,-P19D,,
snacks $0.72,expense,0.72,USD,food_drink,Snacks,PT0M,,
+1.11€ person_b 18 hours ago,income,1.11,EUR,other_income,person_b,-PT18H,,
spent 68.49 ден petrol,expense,68.49,MKD,fuel,Petrol,PT0M,,
salary +252.22 eur,income,252.22,EUR,salary,Salary,PT0M,,
family_member_a 68.49 den,expense,68.49,MKD,peer_transfer,family_member_a,PT0M,,
+€2.22 person_c -2h,income,2.22,EUR,other_income,person_c,-PT2H,,
spent €1.11 oil 21 days ago,expense,1.11,EUR,groceries,Oil,-P21D,,
+€1.11 family_member_a -10h,income,1.11,EUR,family_support,family_member_a,-PT10H,,
rta €0.39 5 hours ago,expense,0.39,EUR,transport,RtA,-PT5H,,
spent 7.78e tire,expense,7.78,EUR,vehicle_maintenance,Tire,PT0M,,
+0.29 eur adjust balance,income,0.29,EUR,balance_adjustment,Adjust balance,PT0M,,
spent 2.78e petrol,expense,2.78,EUR,fuel,Petrol,PT0M,,
noodles -0.67e,expense,0.67,EUR,food_drink,Noodles,PT0M,,
spent 0.06usd xerox 21 hours ago,expense,0.06,USD,education,Xerox,-PT21H,,
xerox -0.3e -17h,expense,0.3,EUR,education,Xerox,-PT17H,,
snacks €0.56 28d ago,expense,0.56,EUR,food_drink,Snacks,-P28D,,
spent 82.19 MKD snacks 23 hours ago,expense,82.19,MKD,food_drink,Snacks,-PT23H,,
atr 0.39 eur,expense,0.39,EUR,transport,AtR,PT0M,,
adjust balance -0.01€,expense,0.01,EUR,balance_adjustment,Adjust Balance,PT0M,,
spent 3.33€ license,expense,3.33,EUR,financial,License,PT0M,,
spent 78.77 MKD snacks 2h ago,expense,78.77,MKD,food_drink,Snacks,-PT2H,,
spent 0.33€ grand original,expense,0.33,EUR,other,Grand original,PT0M,,
shampoo -0.04 eur,expense,0.04,EUR,personal_care,Shampoo,PT0M,,
haircut 1.67 eur,expense,1.67,EUR,personal_care,Haircut,PT0M,,
recharge 2.88€ 15d ago,expense,2.88,EUR,utilities,Recharge,-P15D,,
auto 0.22e,expense,0.22,EUR,transport,Auto,PT0M,,
spent 0.24 USD auto,expense,0.24,USD,transport,Auto,PT0M,,
snacks €1.23 17 days ago,expense,1.23,EUR,food_drink,Snacks,-P17D,,
juice 13.7 den,expense,13.7,MKD,food_drink,Juice,PT0M,,
shawarma 🌯 -1.44€ -17h,expense,1.44,EUR,food_drink,Shawarma 🌯,-PT17H,,
bike 0.33€ 9 days ago,expense,0.33,EUR,transport,Bike,-P9D,,
auto -13.7 den,expense,13.7,MKD,transport,Auto,PT0M,,
rent -38.89e 21 days ago,expense,38.89,EUR,housing,Rent,-P21D,,
juice 0.83e,expense,0.83,EUR,food_drink,Juice,PT0M,,
spent €0.01 recharge,expense,0.01,EUR,utilities,Recharge,PT0M,,
snack €0.33,expense,0.33,EUR,food_drink,Snack,PT0M,,
spent €0.67 snacks tomorrow,expense,0.67,EUR,food_drink,Snacks,P1D,,
spent €0.22 auto,expense,0.22,EUR,transport,Auto,PT0M,,
spent 0.39e rta in 1d,expense,0.39,EUR,transport,RtA,P1D,,
burger am 1.1e,expense,1.1,EUR,food_drink,Burger AM,PT0M,,
breakfast -0.33 eur 19h ago,expense,0.33,EUR,food_drink,Breakfast,-PT19H,,
aloo bhujia -0.11€ 6 hours ago,expense,0.11,EUR,food_drink,Aloo bhujia,-PT6H,,
got +10.96 MKD adjust balance,income,10.96,MKD,balance_adjustment,Adjust balance,PT0M,,
something €0.06,expense,0.06,EUR,other,Something,PT0M,,
stonks -4.44€,expense,4.44,EUR,financial,Stonks,PT0M,,
bus 0.12 dollar,expense,0.12,USD,transport,Bus,PT0M,,
atr -23.97 ден -18h,expense,23.97,MKD,transport,AtR,-PT18H,,
atr -0.39e,expense,0.39,EUR,transport,AtR,PT0M,,
auto -€0.22,expense,0.22,EUR,transport,Auto,PT0M,,
person_c payup -2.41usd tmr,expense,2.41,USD,peer_transfer,person_c PayUp,P1D,,
adjust balance €0.56 23 hours ago,expense,0.56,EUR,balance_adjustment,Adjust balance,-PT23H,,
adjust balance -€0.22 19 days ago,expense,0.22,EUR,balance_adjustment,Adjust balance,-P19D,,
person_c payup +€2.22,income,2.22,EUR,other_income,person_c PayUp,PT0M,,
rta 0.39€ tomorrow,expense,0.39,EUR,transport,RtA,P1D,,
recharge 1.11€ savings bank to metro card 11 hours ago,transfer,1.11,EUR,transfer,Recharge,-PT11H,Savings Bank,Metro Card
bus -0.24 dollar,expense,0.24,USD,transport,Bus,PT0M,,
payup 191.78 MKD,expense,191.78,MKD,peer_transfer,Payup,PT0M,,
scholarship -€0.44,expense,0.44,EUR,other,Scholarship,PT0M,,
juice 0.28€ -4d,expense,0.28,EUR,food_drink,Juice,-P4D,,
spent 7.23usd gala nyt 18d ago,expense,7.23,USD,entertainment,Gala nyt,-P18D,,
spent €0.17 parking,expense,0.17,EUR,parking,Parking,PT0M,,
spent 0.8e stationary 20 days ago,expense,0.8,EUR,education,Stationary,-P20D,,
auto -0.22€ 15 hours ago,expense,0.22,EUR,transport,Auto,-PT15H,,
bus 0.11e,expense,0.11,EUR,transport,Bus,PT0M,,
auto -13.7 MKD,expense,13.7,MKD,transport,Auto,PT0M,,
spent 0.72 USD snacks,expense,0.72,USD,food_drink,Snacks,PT0M,,
spent 13.7 MKD auto,expense,13.7,MKD,transport,Auto,PT0M,,
spent €0.22 auto,expense,0.22,EUR,transport,Auto,PT0M,,
snacks 0.56e 19d ago,expense,0.56,EUR,food_drink,Snacks,-P19D,,
spent $0.24 auto 14 days ago,expense,0.24,USD,transport,Auto,-P14D,,
bus -0.11e 15d ago,expense,0.11,EUR,transport,Bus,-P15D,,
cake €3.33 6 days ago,expense,3.33,EUR,food_drink,Cake,-P6D,,
party -3.89€,expense,3.89,EUR,entertainment,Party,PT0M,,
spent 0.33 eur breakfast,expense,0.33,EUR,food_drink,Breakfast,PT0M,,
got +0.33 eur person_i payback -9d,income,0.33,EUR,other_income,person_i Payback,-P9D,,
spent 1.11 eur snacks,expense,1.11,EUR,food_drink,Snacks,PT0M,,
transfer €1.11 cash to savings bank,transfer,1.11,EUR,transfer,Transfer,PT0M,Cash,Savings Bank
bus 0.11 eur,expense,0.11,EUR,transport,Bus,PT0M,,
auto -0.22e,expense,0.22,EUR,transport,Auto,PT0M,,
got +$37.71 salary,income,37.71,USD,salary,Salary,PT0M,,
breakfast -€0.33 4 days ago,expense,0.33,EUR,food_drink,Breakfast,-P4D,,
auto -0.22 eur,expense,0.22,EUR,transport,Auto,PT0M,,
auto 0.24 dollar 5 hours ago,expense,0.24,USD,transport,Auto,-PT5H,,
spent 0.39 eur stationary,expense,0.39,EUR,education,Stationary,PT0M,,
spent 0.12 dollar bus,expense,0.12,USD,transport,Bus,PT0M,,
spent 0.33e snacks 23 days ago,expense,0.33,EUR,food_drink,Snacks,-P23D,,
lunch 0.78€,expense,0.78,EUR,food_drink,Lunch,PT0M,,
spent 0.5e adjust balance -20h,expense,0.5,EUR,balance_adjustment,Adjust balance,-PT20H,,
breakfast -0.39e tomorrow,expense,0.39,EUR,food_drink,Breakfast,P1D,,
bread -47.95 ден,expense,47.95,MKD,groceries,Bread,PT0M,,
lunch -$2.65 5d ago,expense,2.65,USD,food_drink,Lunch,-P5D,,
tea -0.22 eur,expense,0.22,EUR,food_drink,Tea,PT0M,,
water -0.22e,expense,0.22,EUR,food_drink,Water,PT0M,,
breakfast -€0.67,expense,0.67,EUR,food_drink,Breakfast,PT0M,,
breakfast -0.44 eur 12h ago,expense,0.44,EUR,food_drink,Breakfast,-PT12H,,
spent 2.08€ chicken keema,expense,2.08,EUR,food_drink,Chicken keema,PT0M,,
+0.33€ interest,income,0.33,EUR,interest,Interest,PT0M,,
breakfast €0.33 16h ago,expense,0.33,EUR,food_drink,Breakfast,-PT16H,,
coffee -2.74 MKD,expense,2.74,MKD,food_drink,Coffee,PT0M,,
spent 6.85 ден coffee -4d,expense,6.85,MKD,food_drink,Coffee,-P4D,,
recharge 2.88 eur 15 hours ago,expense,2.88,EUR,utilities,Recharge,-PT15H,,
snacks 0.72 dollar,expense,0.72,USD,food_drink,Snacks,PT0M,,
payup +2.22e 9 hours ago,income,2.22,EUR,other_income,Payup,-PT9H,,
payup +€7.78 6h ago,income,7.78,EUR,other_income,Payup,-PT6H,,
auto 13.7mkd,expense,13.7,MKD,transport,Auto,PT0M,,
ticket refund +116.82 den -30d,income,116.82,MKD,refund,Ticket refund,-P30D,,
juice $1.57,expense,1.57,USD,food_drink,Juice,PT0M,,
+0.44 eur payup,income,0.44,EUR,other_income,Payup,PT0M,,
spent 1.89e pizza,expense,1.89,EUR,food_drink,Pizza,PT0M,,
tickets 4.53 dollar -25d,expense,4.53,USD,entertainment,Tickets,-P25D,,
spent 17.22€ gift 🎁,expense,17.22,EUR,gifts,Gift 🎁,PT0M,,
got +0.93 eur stonks return,income,0.93,EUR,investment_income,Stonks Return,PT0M,,
shawarma 🌯 3.67e 12 days ago,expense,3.67,EUR,food_drink,Shawarma 🌯,-P12D,,
snacks -0.61€ 4 hours ago,expense,0.61,EUR,food_drink,Snacks,-PT4H,,
spent 176.64mkd recharge -20d,expense,176.64,MKD,utilities,Recharge,-P20D,,
bus 0.11€ -11h,expense,0.11,EUR,transport,Bus,-PT11H,,
spent 0.22 eur auto 2d ago,expense,0.22,EUR,transport,Auto,-P2D,,
snacks -0.39€ +1d,expense,0.39,EUR,food_drink,Snacks,P1D,,
cashback +0.03€,income,0.03,EUR,rewards,Cashback,PT0M,,
got +205.48 MKD adjust balance,income,205.48,MKD,balance_adjustment,Adjust balance,PT0M,,
+0.02 eur adjust balance,income,0.02,EUR,balance_adjustment,Adjust balance,PT0M,,
weekend €3.22 tmr,expense,3.22,EUR,other,Weekend,P1D,,
card maintenance 3.28 eur 8h ago,expense,3.28,EUR,utilities,Card maintenance,-PT8H,,
bus pass -4.78€,expense,4.78,EUR,transport,Bus Pass,PT0M,,
auto 0.22e,expense,0.22,EUR,transport,Auto,PT0M,,
+0.33e person_i payback,income,0.33,EUR,other_income,person_i Payback,PT0M,,
got +0.44€ person_c payup,income,0.44,EUR,other_income,person_c PayUp,PT0M,,
juice -27.4 MKD +1d,expense,27.4,MKD,food_drink,Juice,P1D,,
snacks -71.92 den,expense,71.92,MKD,food_drink,Snacks,PT0M,,
auto 0.22e 10d ago,expense,0.22,EUR,transport,Auto,-P10D,,
spent €0.78 snacks +1d,expense,0.78,EUR,food_drink,Snacks,P1D,,
snacks -0.33 eur,expense,0.33,EUR,food_drink,Snacks,PT0M,,
biryani -$6.27,expense,6.27,USD,food_drink,Biryani,PT0M,,
bus -0.11€ -6h,expense,0.11,EUR,transport,Bus,-PT6H,,
spent 0.11 eur bus,expense,0.11,EUR,transport,Bus,PT0M,,
spent 13.7 ден auto,expense,13.7,MKD,transport,Auto,PT0M,,
auto -13.7 ден,expense,13.7,MKD,transport,Auto,PT0M,,
spent €0.11 bus 21h ago,expense,0.11,EUR,transport,Bus,-PT21H,,
spent 0.02 eur adjust balance,expense,0.02,EUR,balance_adjustment,Adjust balance,PT0M,,
snacks -0.33e,expense,0.33,EUR,food_drink,Snacks,PT0M,,
auto -0.24 dollar,expense,0.24,USD,transport,Auto,PT0M,,
