input,mediaType,title,rating,favorite,timeOffset
"movie adventures of priscilla, queen of the desert, the 7/10 25 days ago",movie,"Adventures of Priscilla, Queen of the Desert, The",7,False,-P25D
movie anna karenina (1935) 3.5 stars,movie,Anna Karenina (1935),7,False,PT0M
movie hot shots! part deux 3 stars,movie,Hot Shots! Part Deux,6,False,PT0M
movie saving silverman (evil woman) 5/10 fav 11d ago,movie,Saving Silverman (Evil Woman),5,True,-P11D
"movie unbearable lightness of being, the 10/10 -11d",movie,"Unbearable Lightness of Being, The",10,False,-P11D
"saw jackal, the 6 10h ago",movie,"Jackal, The",6,False,-PT10H
watched sleepy hollow 7/10 6h ago,movie,Sleepy Hollow,7,False,-PT6H
watched beneath the planet of the apes 3 stars loved,movie,Beneath the Planet of the Apes,6,True,PT0M
watched whiplash (2014) 9/10 loved,movie,Whiplash (2014),9,True,PT0M
"film war zone, the 2.5 stars 2h ago",movie,"War Zone, The",5,False,-PT2H
watched how the grinch stole christmas (a.k.a. the grinch) 4 stars favorite,movie,How the Grinch Stole Christmas (a.k.a. The Grinch),8,True,PT0M
film hackers 4/10,movie,Hackers,4,False,PT0M
saw austin powers: international man of mystery 8,movie,Austin Powers: International Man of Mystery,8,False,PT0M
saw dead man walking 8/10,movie,Dead Man Walking,8,False,PT0M
movie avatar 9 15 hours ago,movie,Avatar,9,False,-PT15H
movie armageddon 1.5 stars 22h ago,movie,Armageddon,3,False,-PT22H
movie october sky 4 stars,movie,October Sky,8,False,PT0M
"movie time machine, the (2002) 3 stars",movie,"Time Machine, The (2002)",6,False,PT0M
saw spaceballs 8/10,movie,Spaceballs,8,False,PT0M
movie home alone 2: lost in new york 4,movie,Home Alone 2: Lost in New York,4,False,PT0M
saw desperado 2 stars,movie,Desperado,4,False,PT0M
saw eat drink man woman (yin shi nan nu) 4 -19d,movie,Eat Drink Man Woman (Yin shi nan nu),4,False,-P19D
"watched lost boys, the 1",movie,"Lost Boys, The",1,False,PT0M
"movie aristocats, the 6/10",movie,"Aristocats, The",6,False,PT0M
"watched dark knight, the 10/10 heart",movie,"Dark Knight, The",10,True,PT0M
film sliver 1 star favourite,movie,Sliver,2,True,PT0M
"watched matrix revolutions, the 10/10 6h ago",movie,"Matrix Revolutions, The",10,False,-PT6H
watched pootie tang 6/10 7h ago,movie,Pootie Tang,6,False,-PT7H
watched outbreak 3 stars loved 10d ago,movie,Outbreak,6,True,-P10D
movie citizen kane 3 stars heart,movie,Citizen Kane,6,True,PT0M
film not without my daughter 5/10,movie,Not Without My Daughter,5,False,PT0M
movie you've got mail 4 stars,movie,You've Got Mail,8,False,PT0M
film cloudy with a chance of meatballs 3 stars fav,movie,Cloudy with a Chance of Meatballs,6,True,PT0M
film fever pitch (2005) 0.5 stars,movie,Fever Pitch (2005),1,False,PT0M
movie mitchell 2/10 -11h,movie,Mitchell,2,False,-PT11H
movie hannibal 1.5 stars,movie,Hannibal,3,False,PT0M
watched ice age 3.5 stars,movie,Ice Age,7,False,PT0M
film you've got mail 4/10 favourite,movie,You've Got Mail,4,True,PT0M
watched untitled spider-man reboot 9/10,movie,Untitled Spider-Man Reboot,9,False,PT0M
film casablanca 5 stars 26d ago,movie,Casablanca,10,False,-P26D
movie requiem for a dream 9/10,movie,Requiem for a Dream,9,False,PT0M
saw wall·e 7/10,movie,WALL·E,7,False,PT0M
film fraternity vacation 1 star loved 7 hours ago,movie,Fraternity Vacation,2,True,-PT7H
"film girl with the dragon tattoo, the 8 loved",movie,"Girl with the Dragon Tattoo, The",8,True,PT0M
saw pineapple express 2.5 stars fav -15d,movie,Pineapple Express,5,True,-P15D
film battle royale (batoru rowaiaru) 9,movie,Battle Royale (Batoru rowaiaru),9,False,PT0M
saw captain phillips 4 stars loved,movie,Captain Phillips,8,True,PT0M
"movie full monty, the 4 stars",movie,"Full Monty, The",8,False,PT0M
film dead poets society 8/10 fav 27d ago,movie,Dead Poets Society,8,True,-P27D
movie sky captain and the world of tomorrow 3.5 stars,movie,Sky Captain and the World of Tomorrow,7,False,PT0M
saw teenage mutant ninja turtles ii: the secret of the ooze 7 favorite,movie,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,7,True,PT0M
watched cloudy with a chance of meatballs 10/10 favourite,movie,Cloudy with a Chance of Meatballs,10,True,PT0M
watched dances with wolves 6/10 20 days ago,movie,Dances with Wolves,6,False,-P20D
film missing in action 4/10 13d ago,movie,Missing in Action,4,False,-P13D
saw big hero 6 3.5 stars,movie,Big Hero 6,7,False,PT0M
saw red cliff (chi bi) 10,movie,Red Cliff (Chi bi),10,False,PT0M
film baby driver 5 stars -16d,movie,Baby Driver,10,False,-P16D
film argo 8/10,movie,Argo,8,False,PT0M
saw spider-man 2 3.5 stars favorite,movie,Spider-Man 2,7,True,PT0M
watched dr. horrible's sing-along blog 5 stars 18h ago,movie,Dr. Horrible's Sing-Along Blog,10,False,-PT18H
movie limitless 3.5 stars favourite,movie,Limitless,7,True,PT0M
"film krays, the 3.5 stars",movie,"Krays, The",7,False,PT0M
watched home alone 4 22d ago,movie,Home Alone,4,False,-P22D
film monster 4 stars,movie,Monster,8,False,PT0M
saw paperman 8 -2h,movie,Paperman,8,False,-PT2H
watched the handmaiden 1/10 fav,movie,The Handmaiden,1,True,PT0M
film terminator 2: judgment day 4.5 stars,movie,Terminator 2: Judgment Day,9,False,PT0M
movie chasing amy 9,movie,Chasing Amy,9,False,PT0M
saw 40 days and 40 nights 0.5 stars,movie,40 Days and 40 Nights,1,False,PT0M
watched butch cassidy and the sundance kid 5 stars 10 hours ago,movie,Butch Cassidy and the Sundance Kid,10,False,-PT10H
saw titanic (1997) 4 stars heart,movie,Titanic (1997),8,True,PT0M
"movie hunchback of notre dame, the (1996) 2 stars",movie,"Hunchback of Notre Dame, The (1996)",4,False,PT0M
watched police academy 4: citizens on patrol 3 stars 2d ago,movie,Police Academy 4: Citizens on Patrol,6,False,-P2D
"saw truman show, the 3.5 stars -22h",movie,"Truman Show, The",7,False,-PT22H
"watched green mile, the 4.5 stars -12d",movie,"Green Mile, The",9,False,-P12D
film rushmore 3 stars,movie,Rushmore,6,False,PT0M
saw jerry maguire 7/10,movie,Jerry Maguire,7,False,PT0M
film show me love (fucking åmål) 10,movie,Show Me Love (Fucking Åmål),10,False,PT0M
"movie deer hunter, the 5 stars loved 10h ago",movie,"Deer Hunter, The",10,True,-PT10H
watched unforgettable 3 stars,movie,Unforgettable,6,False,PT0M
saw ben-hur 8/10,movie,Ben-Hur,8,False,PT0M
film finding forrester 8 favourite,movie,Finding Forrester,8,True,PT0M
watched fantastic four (2005) 4 stars,movie,Fantastic Four (2005),8,False,PT0M
saw shooter 8,movie,Shooter,8,False,PT0M
"film three musketeers, the (1993) 3 stars",movie,"Three Musketeers, The (1993)",6,False,PT0M
watched reindeer games 4,movie,Reindeer Games,4,False,PT0M
saw three colors: white (trzy kolory: bialy) 7,movie,Three Colors: White (Trzy kolory: Bialy),7,False,PT0M
film toy story 8,movie,Toy Story,8,False,PT0M
movie radio flyer 3 stars favourite,movie,Radio Flyer,6,True,PT0M
"saw mission, the 5 stars 12 hours ago",movie,"Mission, The",10,False,-PT12H
movie aladdin 4 stars -14d,movie,Aladdin,8,False,-P14D
film safety last! 6 loved,movie,Safety Last!,6,True,PT0M
film x-men 8 loved,movie,X-Men,8,True,PT0M
watched skyfall 9,movie,Skyfall,9,False,PT0M
saw megamind 8/10,movie,Megamind,8,False,PT0M
film scott pilgrim vs. the world 5 stars 23h ago,movie,Scott Pilgrim vs. the World,10,False,-PT23H
"movie twilight saga: breaking dawn - part 2, the 4",movie,"Twilight Saga: Breaking Dawn - Part 2, The",4,False,PT0M
saw just married 6,movie,Just Married,6,False,PT0M
"saw exorcist, the 6",movie,"Exorcist, The",6,False,PT0M
film frozen (2013) 3 stars,movie,Frozen (2013),6,False,PT0M
watched captain america: civil war 3 stars -6h,movie,Captain America: Civil War,6,False,-PT6H
"saw green hornet, the 3 stars",movie,"Green Hornet, The",6,False,PT0M
"film texas chainsaw massacre: the beginning, the 2 stars",movie,"Texas Chainsaw Massacre: The Beginning, The",4,False,PT0M
"saw jerky boys, the 10/10",movie,"Jerky Boys, The",10,False,PT0M
watched french kiss 5 stars loved 4d ago,movie,French Kiss,10,True,-P4D
movie big 7/10 9 hours ago,movie,Big,7,False,-PT9H
saw the alamo 6/10 6d ago,movie,The Alamo,6,False,-P6D
saw naked gun 33 1/3: the final insult 3 stars favorite,movie,Naked Gun 33 1/3: The Final Insult,6,True,PT0M
movie cliffhanger 4 stars,movie,Cliffhanger,8,False,PT0M
watched mallrats 7/10,movie,Mallrats,7,False,PT0M
movie alpha and omega 3: the great wolf games 4.5 stars,movie,Alpha and Omega 3: The Great Wolf Games,9,False,PT0M
"watched forbidden kingdom, the 9",movie,"Forbidden Kingdom, The",9,False,PT0M
"watched jungle book, the (1994) 6",movie,"Jungle Book, The (1994)",6,False,PT0M
film lemony snicket's a series of unfortunate events 2.5 stars,movie,Lemony Snicket's A Series of Unfortunate Events,5,False,PT0M
saw saving grace 7/10,movie,Saving Grace,7,False,PT0M
movie pleasantville 3 stars,movie,Pleasantville,6,False,PT0M
saw crash (2004) 9/10,movie,Crash (2004),9,False,PT0M
saw murder at 1600 3 stars,movie,Murder at 1600,6,False,PT0M
saw north dallas forty 2 stars,movie,North Dallas Forty,4,False,PT0M
saw rush hour 2 4 stars -17d,movie,Rush Hour 2,8,False,-P17D
watched his girl friday 9/10,movie,His Girl Friday,9,False,PT0M
saw being there 6/10,movie,Being There,6,False,PT0M
watched taxi driver 4 stars,movie,Taxi Driver,8,False,PT0M
movie homeward bound ii: lost in san francisco 6/10,movie,Homeward Bound II: Lost in San Francisco,6,False,PT0M
movie jon stewart has left the building 3.5 stars -15d,movie,Jon Stewart Has Left the Building,7,False,-P15D
"movie shawshank redemption, the 5 stars",movie,"Shawshank Redemption, The",10,False,PT0M
"film lust, caution (se, jie) 3.5 stars",movie,"Lust, Caution (Se, jie)",7,False,PT0M
movie stuart little 2 stars heart 20h ago,movie,Stuart Little,4,True,-PT20H
"film lion king, the 6/10",movie,"Lion King, The",6,False,PT0M
film star trek v: the final frontier 6,movie,Star Trek V: The Final Frontier,6,False,PT0M
watched dangerous liaisons 4 stars,movie,Dangerous Liaisons,8,False,PT0M
film signs 4 stars,movie,Signs,8,False,PT0M
watched real steel 3.5 stars 21 days ago,movie,Real Steel,7,False,-P21D
film series 7: the contenders 3 stars 21d ago,movie,Series 7: The Contenders,6,False,-P21D
watched house 5 stars,movie,House,10,False,PT0M
saw national lampoon's van wilder 6 -2d,movie,National Lampoon's Van Wilder,6,False,-P2D
film erin brockovich 8,movie,Erin Brockovich,8,False,PT0M
film sabotage 3 stars,movie,Sabotage,6,False,PT0M
saw home alone 3 stars,movie,Home Alone,6,False,PT0M
film inception 4 stars,movie,Inception,8,False,PT0M
watched iron man 3 4 stars,movie,Iron Man 3,8,False,PT0M
"watched others, the 5 stars fav",movie,"Others, The",10,True,PT0M
watched die hard 2 4.5 stars -8d,movie,Die Hard 2,9,False,-P8D
movie as good as it gets 8/10,movie,As Good as It Gets,8,False,PT0M
movie to kill a mockingbird 4.5 stars,movie,To Kill a Mockingbird,9,False,PT0M
movie far from home: the adventures of yellow dog 10 -13h,movie,Far From Home: The Adventures of Yellow Dog,10,False,-PT13H
"film visitors, the (visiteurs, les) 10/10",movie,"Visitors, The (Visiteurs, Les)",10,False,PT0M
saw rosemary's baby 5 stars,movie,Rosemary's Baby,10,False,PT0M
watched no man's land (2001) 5 stars 15h ago,movie,No Man's Land (2001),10,False,-PT15H
saw city of angels 3 stars -1h,movie,City of Angels,6,False,-PT1H
watched kiss kiss bang bang 5 stars,movie,Kiss Kiss Bang Bang,10,False,PT0M
"saw nutty professor, the (1963) 3 stars favourite -6d",movie,"Nutty Professor, The (1963)",6,True,-P6D
"film breakfast club, the 4 stars fav",movie,"Breakfast Club, The",8,True,PT0M
"movie spy who loved me, the 7/10 11d ago",movie,"Spy Who Loved Me, The",7,False,-P11D
"movie thomas crown affair, the (1968) 3.5 stars 24d ago",movie,"Thomas Crown Affair, The (1968)",7,False,-P24D
"watched crouching tiger, hidden dragon (wo hu cang long) 9",movie,"Crouching Tiger, Hidden Dragon (Wo hu cang long)",9,False,PT0M
"film assassination of jesse james by the coward robert ford, the 6/10 -21d",movie,"Assassination of Jesse James by the Coward Robert Ford, The",6,False,-P21D
watched entrapment 4/10 5 hours ago,movie,Entrapment,4,False,-PT5H
saw hannibal 8/10,movie,Hannibal,8,False,PT0M
movie lara croft tomb raider: the cradle of life 2.5 stars 25d ago,movie,Lara Croft Tomb Raider: The Cradle of Life,5,False,-P25D
watched star wars: episode i - the phantom menace 10/10,movie,Star Wars: Episode I - The Phantom Menace,10,False,PT0M
watched harley davidson and the marlboro man 6 5 hours ago,movie,Harley Davidson and the Marlboro Man,6,False,-PT5H
film amityville: dollhouse 2 stars 10 days ago,movie,Amityville: Dollhouse,4,False,-P10D
watched kill bill: vol. 2 10/10 23 days ago,movie,Kill Bill: Vol. 2,10,False,-P23D
watched terminator 2: judgment day 3 stars favorite 3 days ago,movie,Terminator 2: Judgment Day,6,True,-P3D
saw red 2 2 stars -11d,movie,Red 2,4,False,-P11D
film wallace & gromit in the curse of the were-rabbit 3 1h ago,movie,Wallace & Gromit in The Curse of the Were-Rabbit,3,False,-PT1H
"film producers, the (1968) 8/10",movie,"Producers, The (1968)",8,False,PT0M
movie sunshine cleaning 7,movie,Sunshine Cleaning,7,False,PT0M
saw total recall (1990) 5/10 fav 17 days ago,movie,Total Recall (1990),5,True,-P17D
"movie 40-year-old virgin, the 8/10 favorite 28d ago",movie,"40-Year-Old Virgin, The",8,True,-P28D
film teknolust 4/10,movie,Teknolust,4,False,PT0M
watched schindler's list 10,movie,Schindler's List,10,False,PT0M
watched jurassic park 4,movie,Jurassic Park,4,False,PT0M
watched james and the giant peach 1 star,movie,James and the Giant Peach,2,False,PT0M
watched lost in translation 4 stars,movie,Lost in Translation,8,False,PT0M
film die hard 4 stars 3d ago,movie,Die Hard,8,False,-P3D
saw good will hunting 8/10,movie,Good Will Hunting,8,False,PT0M
movie amadeus 7/10 -13h,movie,Amadeus,7,False,-PT13H
film candy 8/10 -9d,movie,Candy,8,False,-P9D
movie fargo 8/10,movie,Fargo,8,False,PT0M
saw ghost dog: the way of the samurai 5 stars,movie,Ghost Dog: The Way of the Samurai,10,False,PT0M
"movie fifth element, the 5 stars 12 days ago",movie,"Fifth Element, The",10,False,-P12D
saw goodfellas 4.5 stars -20h,movie,Goodfellas,9,False,-PT20H
film westworld 6/10 -12h,movie,Westworld,6,False,-PT12H
movie striptease 4,movie,Striptease,4,False,PT0M
film fantastic beasts and where to find them 6/10 -15d,movie,Fantastic Beasts and Where to Find Them,6,False,-P15D
watched 48 hrs. 4/10 fav,movie,48 Hrs.,4,True,PT0M
"movie road warrior, the (mad max 2) 4 stars",movie,"Road Warrior, The (Mad Max 2)",8,False,PT0M
movie shine 8,movie,Shine,8,False,PT0M
movie red sonja 2.5 stars -13d,movie,Red Sonja,5,False,-P13D
saw jumpin' jack flash 3 stars,movie,Jumpin' Jack Flash,6,False,PT0M
film cast away 7/10 favorite 6h ago,movie,Cast Away,7,True,-PT6H
"movie adventures of buckaroo banzai across the 8th dimension, the 5 stars -10d",movie,"Adventures of Buckaroo Banzai Across the 8th Dimension, The",10,False,-P10D
"saw girl next door, the (2004) 7 -10d",movie,"Girl Next Door, The (2004)",7,False,-P10D
movie titan a.e. 8 -1h,movie,Titan A.E.,8,False,-PT1H
"watched reader, the 3.5 stars favorite -14d",movie,"Reader, The",7,True,-P14D
watched blown away 8 15 days ago,movie,Blown Away,8,False,-P15D
film pitch black 4 stars favourite,movie,Pitch Black,8,True,PT0M
movie safe (2012) 8/10 11 hours ago,movie,Safe (2012),8,False,-PT11H
movie birdman: or (the unexpected virtue of ignorance) 9/10 6h ago,movie,Birdman: Or (The Unexpected Virtue of Ignorance),9,False,-PT6H
movie ¡three amigos! 5 stars,movie,¡Three Amigos!,10,False,PT0M
"watched adventures of priscilla, queen of the desert, the 6 heart",movie,"Adventures of Priscilla, Queen of the Desert, The",6,True,PT0M
"movie remains of the day, the 10",movie,"Remains of the Day, The",10,False,PT0M
film dirty dancing 4.5 stars favorite,movie,Dirty Dancing,9,True,PT0M
film zero effect 8/10 14d ago,movie,Zero Effect,8,False,-P14D
"saw help, the 4 stars",movie,"Help, The",8,False,PT0M
saw gandhi 6,movie,Gandhi,6,False,PT0M
film only lovers left alive 10/10,movie,Only Lovers Left Alive,10,False,PT0M
film sabrina (1995) 3 stars,movie,Sabrina (1995),6,False,PT0M
"film green mile, the 4 stars favourite",movie,"Green Mile, The",8,True,PT0M
"movie hurricane, the 3 stars",movie,"Hurricane, The",6,False,PT0M
watched monsters university 4 stars,movie,Monsters University,8,False,PT0M
"watched da vinci code, the 6/10 6d ago",movie,"Da Vinci Code, The",6,False,-P6D
film road to perdition 8,movie,Road to Perdition,8,False,PT0M
"movie producers, the (1968) 4.5 stars",movie,"Producers, The (1968)",9,False,PT0M
film state property 2 1.5 stars -26d,movie,State Property 2,3,False,-P26D
saw blue crush 6,movie,Blue Crush,6,False,PT0M
watched thirty-two short films about glenn gould 4 stars,movie,Thirty-Two Short Films About Glenn Gould,8,False,PT0M
watched dumbo 7/10,movie,Dumbo,7,False,PT0M
saw goldfinger 6 8 days ago,movie,Goldfinger,6,False,-P8D
"film last king of scotland, the 10",movie,"Last King of Scotland, The",10,False,PT0M
"movie cell, the 7 favourite",movie,"Cell, The",7,True,PT0M
film monty python's the meaning of life 6 15d ago,movie,Monty Python's The Meaning of Life,6,False,-P15D
movie there's something about mary 6 8d ago,movie,There's Something About Mary,6,False,-P8D
saw dumbo 5 stars -1h,movie,Dumbo,10,False,-PT1H
movie pocahontas 9,movie,Pocahontas,9,False,PT0M
film 101 dalmatians 5/10,movie,101 Dalmatians,5,False,PT0M
watched planet of the apes (1968) 5 stars 3d ago,movie,Planet of the Apes (1968),10,False,-P3D
movie four weddings and a funeral 5 18 days ago,movie,Four Weddings and a Funeral,5,False,-P18D
film 2001: a space odyssey 8/10 21d ago,movie,2001: A Space Odyssey,8,False,-P21D
saw cat ballou 6/10,movie,Cat Ballou,6,False,PT0M
saw 12 years a slave 4.5 stars fav,movie,12 Years a Slave,9,True,PT0M
movie x-men: the last stand 2.5 stars,movie,X-Men: The Last Stand,5,False,PT0M
saw night at the museum 4 stars 22 hours ago,movie,Night at the Museum,8,False,-PT22H
film bend it like beckham 2 stars,movie,Bend It Like Beckham,4,False,PT0M
film leaving las vegas 2/10,movie,Leaving Las Vegas,2,False,PT0M
"watched matrix revolutions, the 3.5 stars",movie,"Matrix Revolutions, The",7,False,PT0M
"saw notorious bettie page, the 6 13h ago",movie,"Notorious Bettie Page, The",6,False,-PT13H
movie cool runnings 6/10,movie,Cool Runnings,6,False,PT0M
saw american beauty 8/10 fav 2 hours ago,movie,American Beauty,8,True,-PT2H
watched lawrence of arabia 10/10,movie,Lawrence of Arabia,10,False,PT0M
film sleepless in seattle 3 stars favorite,movie,Sleepless in Seattle,6,True,PT0M
film easy a 4 stars 8 hours ago,movie,Easy A,8,False,-PT8H
saw citizen ruth 3 stars,movie,Citizen Ruth,6,False,PT0M
"movie people vs. larry flynt, the 4 stars fav",movie,"People vs. Larry Flynt, The",8,True,PT0M
saw encino man 4,movie,Encino Man,4,False,PT0M
saw wet hot american summer 5 stars 29 days ago,movie,Wet Hot American Summer,10,False,-P29D
"watched thomas crown affair, the (1999) 6",movie,"Thomas Crown Affair, The (1999)",6,False,PT0M
watched mamma mia! 2 stars,movie,Mamma Mia!,4,False,PT0M
watched alien 5 stars,movie,Alien,10,False,PT0M
watched limitless 6,movie,Limitless,6,False,PT0M
watched sabrina (1995) 4 stars,movie,Sabrina (1995),8,False,PT0M
film wayne's world 6 14h ago,movie,Wayne's World,6,False,-PT14H
movie deadpool 9 17 days ago,movie,Deadpool,9,False,-P17D
"film first beautiful thing, the (la prima cosa bella) 8/10",movie,"First Beautiful Thing, The (La prima cosa bella)",8,False,PT0M
saw white men can't jump 3 stars,movie,White Men Can't Jump,6,False,PT0M
watched swiss army man 4 stars 25 days ago,movie,Swiss Army Man,8,False,-P25D
"watched simpsons: the longest daycare, the 9/10 9 days ago",movie,"Simpsons: The Longest Daycare, The",9,False,-P9D
watched six degrees of separation 6/10,movie,Six Degrees of Separation,6,False,PT0M
watched hidden figures 8 -22h,movie,Hidden Figures,8,False,-PT22H
watched big top pee-wee 2 stars,movie,Big Top Pee-Wee,4,False,PT0M
saw rise of the planet of the apes 0.5 stars,movie,Rise of the Planet of the Apes,1,False,PT0M
saw collateral 7/10 favorite,movie,Collateral,7,True,PT0M
movie close range 3 stars 12d ago,movie,Close Range,6,False,-P12D
"saw rocker, the 3/10",movie,"Rocker, The",3,False,PT0M
"saw beverly hillbillies, the 4 -12h",movie,"Beverly Hillbillies, The",4,False,-PT12H
film envy 6 -15d,movie,Envy,6,False,-P15D
watched war of the worlds (2005) 4.5 stars,movie,War of the Worlds (2005),9,False,PT0M
saw home alone 2: lost in new york 2,movie,Home Alone 2: Lost in New York,2,False,PT0M
movie coco 4/10 -26d,movie,Coco,4,False,-P26D
watched hook 7/10,movie,Hook,7,False,PT0M
film white man's burden 6,movie,White Man's Burden,6,False,PT0M
watched die hard: with a vengeance 4 stars,movie,Die Hard: With a Vengeance,8,False,PT0M
movie into the wild 3.5 stars,movie,Into the Wild,7,False,PT0M
movie deep blue sea 4 stars,movie,Deep Blue Sea,8,False,PT0M
"saw babysitter, the 6/10",movie,"Babysitter, The",6,False,PT0M
film django unchained 10/10,movie,Django Unchained,10,False,PT0M
watched troll 2 1 9d ago,movie,Troll 2,1,False,-P9D
movie 3:10 to yuma (2007) 10,movie,3:10 to Yuma (2007),10,False,PT0M
saw monty python's the meaning of life 5 stars,movie,Monty Python's The Meaning of Life,10,False,PT0M
movie strictly ballroom 2 stars fav -4d,movie,Strictly Ballroom,4,True,-P4D
watched teenage mutant ninja turtles iii 5/10,movie,Teenage Mutant Ninja Turtles III,5,False,PT0M
film end of days 7,movie,End of Days,7,False,PT0M
"movie mighty ducks, the 8",movie,"Mighty Ducks, The",8,False,PT0M
watched pi 7 fav,movie,Pi,7,True,PT0M
saw jungle2jungle (a.k.a. jungle 2 jungle) 2 stars,movie,Jungle2Jungle (a.k.a. Jungle 2 Jungle),4,False,PT0M
"watched princess bride, the 8",movie,"Princess Bride, The",8,False,PT0M
"film quiet man, the 2 stars",movie,"Quiet Man, The",4,False,PT0M
"movie hunchback of notre dame, the (1996) 8/10",movie,"Hunchback of Notre Dame, The (1996)",8,False,PT0M
saw bones 1 star 6 days ago,movie,Bones,2,False,-P6D
watched 8 1/2 (8½) 6/10,movie,8 1/2 (8½),6,False,PT0M
watched waking ned devine (a.k.a. waking ned) 8/10,movie,Waking Ned Devine (a.k.a. Waking Ned),8,False,PT0M
movie 28 days later 3.5 stars,movie,28 Days Later,7,False,PT0M
"saw boys from brazil, the 3 stars",movie,"Boys from Brazil, The",6,False,PT0M
film waitress 3.5 stars favourite,movie,Waitress,7,True,PT0M
movie cool hand luke 6 22h ago,movie,Cool Hand Luke,6,False,-PT22H
film manhattan 7 -13d,movie,Manhattan,7,False,-P13D
watched hocus pocus 6,movie,Hocus Pocus,6,False,PT0M
"saw amelie (fabuleux destin d'amélie poulain, le) 10/10 -8h",movie,"Amelie (Fabuleux destin d'Amélie Poulain, Le)",10,False,-PT8H
saw babe 10/10,movie,Babe,10,False,PT0M
"saw mask, the 2",movie,"Mask, The",2,False,PT0M
"movie avengers, the (2012) 10/10",movie,"Avengers, The (2012)",10,False,PT0M
film ip man 2 0.5 stars,movie,Ip Man 2,1,False,PT0M
"watched others, the 6 8d ago",movie,"Others, The",6,False,-P8D
film harold and kumar go to white castle 4 stars,movie,Harold and Kumar Go to White Castle,8,False,PT0M
watched paperman 5 stars,movie,Paperman,10,False,PT0M
movie snatch 6,movie,Snatch,6,False,PT0M
film patch adams 8/10,movie,Patch Adams,8,False,PT0M
saw men in black (a.k.a. mib) 7/10 -6h,movie,Men in Black (a.k.a. MIB),7,False,-PT6H
film cinderella (1950) 6 favorite,movie,Cinderella (1950),6,True,PT0M
"movie cable guy, the 1 -3d",movie,"Cable Guy, The",1,False,-P3D
"film silence of the lambs, the 4 stars",movie,"Silence of the Lambs, The",8,False,PT0M
"movie truman show, the 8",movie,"Truman Show, The",8,False,PT0M
"saw grand day out with wallace and gromit, a 8",movie,"Grand Day Out with Wallace and Gromit, A",8,False,PT0M
"movie 40-year-old virgin, the 10/10",movie,"40-Year-Old Virgin, The",10,False,PT0M
saw batman begins 8/10 8 hours ago,movie,Batman Begins,8,False,-PT8H
saw showgirls 10 16 hours ago,movie,Showgirls,10,False,-PT16H
film star trek vi: the undiscovered country 2 12 days ago,movie,Star Trek VI: The Undiscovered Country,2,False,-P12D
watched embrace of the serpent 7/10 17d ago,movie,Embrace of the Serpent,7,False,-P17D
watched godzilla (1998) 2 loved 15 days ago,movie,Godzilla (1998),2,True,-P15D
watched sicario 9,movie,Sicario,9,False,PT0M
film rain man 6,movie,Rain Man,6,False,PT0M
movie roman holiday 3 stars 27d ago,movie,Roman Holiday,6,False,-P27D
film grease 4 stars,movie,Grease,8,False,PT0M
movie harry potter and the order of the phoenix 3 stars,movie,Harry Potter and the Order of the Phoenix,6,False,PT0M
movie legally blonde 7,movie,Legally Blonde,7,False,PT0M
watched alien 8,movie,Alien,8,False,PT0M
movie american history x 4 stars favorite -19h,movie,American History X,8,True,-PT19H
watched the lego movie 5 stars 20d ago,movie,The Lego Movie,10,False,-P20D
saw dances with wolves 2 stars,movie,Dances with Wolves,4,False,PT0M
"movie animal, the 4/10 9 days ago",movie,"Animal, The",4,False,-P9D
saw boxing helena 1 star -21d,movie,Boxing Helena,2,False,-P21D
film blackbeard's ghost 6 favourite,movie,Blackbeard's Ghost,6,True,PT0M
film 22 jump street 4 stars,movie,22 Jump Street,8,False,PT0M
watched aladdin 9/10 favourite,movie,Aladdin,9,True,PT0M
film guess who 3/10 favourite -9h,movie,Guess Who,3,True,-PT9H
movie ghost 4,movie,Ghost,4,False,PT0M
watched mission: impossible ii 8,movie,Mission: Impossible II,8,False,PT0M
saw midnight in paris 6/10 favorite,movie,Midnight in Paris,6,True,PT0M
movie babel 6/10,movie,Babel,6,False,PT0M
film lost highway 4/10,movie,Lost Highway,4,False,PT0M
film boomerang 2 stars -5h,movie,Boomerang,4,False,-PT5H
movie lost in la mancha 6/10,movie,Lost in La Mancha,6,False,PT0M
saw star wars: episode i - the phantom menace 3 stars,movie,Star Wars: Episode I - The Phantom Menace,6,False,PT0M
film multiplicity 3 stars,movie,Multiplicity,6,False,PT0M
"film magnificent seven, the 3.5 stars",movie,"Magnificent Seven, The",7,False,PT0M
"watched family man, the 6/10 favourite",movie,"Family Man, The",6,True,PT0M
movie juno 8,movie,Juno,8,False,PT0M
saw 101 dalmatians 6/10,movie,101 Dalmatians,6,False,PT0M
saw l.a. confidential 4.5 stars,movie,L.A. Confidential,9,False,PT0M
film scary movie 2 1/10 loved 8d ago,movie,Scary Movie 2,1,True,-P8D
saw spider-man 2 4 stars heart 14 days ago,movie,Spider-Man 2,8,True,-P14D
watched lord of war 2.5 stars,movie,Lord of War,5,False,PT0M
"movie maltese falcon, the 5 stars",movie,"Maltese Falcon, The",10,False,PT0M
"saw perfect storm, the 4 stars 12h ago",movie,"Perfect Storm, The",8,False,-PT12H
watched better off dead... 10,movie,Better Off Dead...,10,False,PT0M
movie for love of the game 4/10 -17h,movie,For Love of the Game,4,False,-PT17H
"film cable guy, the 6/10",movie,"Cable Guy, The",6,False,PT0M
