previousInput,input,exercise,setNumber,reps,weightKg
press #1 30kgx5,press set2 40 5reps,ohp,2,5,40
press set2 40 5reps,s3 40kgx5,ohp,3,5,40
press s3 40kgx5,press s4 40kgx5,ohp,4,5,40
,snatch #1 40kgx3,snatch,1,3,40
snatch #1 40kgx3,40x3,snatch,2,3,40
snatch set2 40x3,snatch #3 50kgx3,snatch,3,3,50
snatch #3 50kgx3,snatch #4 50+5x4,snatch,4,4,55
snatch #4 50+5x4,snatch set5 55 4r,snatch,5,4,55
snatch set5 55 4r,+5 x4,snatch,6,4,60
snatch #6 55+5x4,#7 60 r4,snatch,7,4,60
snatch #7 60 r4,+5 x1,snatch,8,1,65
,clean #1 50x3,clean,1,3,50
clean #1 50x3,+20 x3,clean,2,3,70
clean set2 50+20 3reps,+10 x4,clean,3,4,80
clean #3 80 4reps,set4 80x4,clean,4,4,80
clean set4 80x4,80x4,clean,5,4,80
clean #5 80x4,set6 80x4,clean,6,4,80
clean set6 80x4,s7 80+15 r1,clean,7,1,95
clean s7 80+15 r1,squat s1 50kgx5,squat,1,5,50
squat s1 50kgx5,squat s2 70x3,squat,2,3,70
squat s2 70x3,squat s3 70 +20 3,squat,3,3,90
squat s3 70 +20 3,+10 x4,squat,4,4,100
squat #4 90kg +10kg x4,set5 100x4,squat,5,4,100
squat set5 100x4,100x4,squat,6,4,100
squat set6 100kgx4,squat s7 100x4,squat,7,4,100
,sj s1 40 5reps,split_jerk,1,5,40
sj s1 40 5reps,sj set2 40 +10 4reps,split_jerk,2,4,50
sj set2 40 +10 4reps,sj #3 60x4,split_jerk,3,4,60
,snatch #1 40x3,snatch,1,3,40
snatch #1 40x3,40x2,snatch,2,2,40
snatch s2 40 2reps,set3 50 r3,snatch,3,3,50
snatch set3 50 r3,s4 50kg +10kg x5,snatch,4,5,60
snatch s4 50kg +10kg x5,60x4,snatch,5,4,60
snatch s5 60kgx4,60x4,snatch,6,4,60
snatch s6 60kgx4,60x4,snatch,7,4,60
snatch s7 60kgx4,+10 x1,snatch,8,1,70
snatch set8 60+10 1,set9 70 1,snatch,9,1,70
,clean s1 45x4,clean,1,4,45
clean s1 45x4,+25 x3,clean,2,3,70
clean #2 45+25x3,clean set3 80 3reps,clean,3,3,80
clean set3 80 3reps,s4 85kgx4,clean,4,4,85
clean s4 85kgx4,85x4,clean,5,4,85
clean #5 85kgx4,set6 85 2,clean,6,2,85
,squat s1 50 5r,squat,1,5,50
squat s1 50 5r,squat s2 70kgx3,squat,2,3,70
squat s2 70kgx3,squat s3 70kg +20kg x3,squat,3,3,90
squat s3 70kg +20kg x3,+10 x4,squat,4,4,100
squat set4 100 r4,#5 100kgx4,squat,5,4,100
squat #5 100kgx4,squat #6 100x4,squat,6,4,100
squat #6 100x4,squat #7 100x4,squat,7,4,100
,snatch s1 40 3reps,snatch,1,3,40
snatch s1 40 3reps,snatch s2 40x3,snatch,2,3,40
snatch s2 40x3,set3 40+10x3,snatch,3,3,50
snatch set3 40+10x3,snatch set4 60 5r,snatch,4,5,60
snatch set4 60 5r,set5 60 4r,snatch,5,4,60
snatch set5 60 4r,snatch #6 60 4r,snatch,6,4,60
snatch #6 60 4r,+5 x2,snatch,7,2,65
snatch #7 60 +5 2reps,spull #1 75 r4,snatch_pull,1,4,75
spull #1 75 r4,spull #2 75x4,snatch_pull,2,4,75
spull #2 75x4,spull #3 75 4r,snatch_pull,3,4,75
spull #3 75 4r,fs #1 50x5,front_squat,1,5,50
fs #1 50x5,+20 x4,front_squat,2,4,70
fs #2 50kg +20kg x4,+10 x5,front_squat,3,5,80
fs s3 70+10x5,fs s4 80 5,front_squat,4,5,80
fs s4 80 5,fs set5 80 5,front_squat,5,5,80
fs set5 80 5,#6 80kgx5,front_squat,6,5,80
fs #6 80kgx5,fs #7 85x5,front_squat,7,5,85
,snatch set1 30x5,snatch,1,5,30
snatch set1 30x5,snatch #2 40kgx3,snatch,2,3,40
snatch #2 40kgx3,#3 40+10 r3,snatch,3,3,50
snatch #3 40+10 r3,+10 x4,snatch,4,4,60
snatch #4 50+10 r4,60x4,snatch,5,4,60
snatch #5 60x4,+5 x4,snatch,6,4,65
snatch #6 65x4,65x4,snatch,7,4,65
snatch s7 65x4,clean set1 45 4,clean,1,4,45
clean set1 45 4,clean set2 65x2,clean,2,2,65
clean set2 65x2,clean s3 65+10x3,clean,3,3,75
clean s3 65+10x3,+10 x4,clean,4,4,85
clean s4 75+10 4reps,clean s5 85 4r,clean,5,4,85
clean s5 85 4r,clean #6 85kgx4,clean,6,4,85
clean #6 85kgx4,85x4,clean,7,4,85
clean #7 85 4,squat #1 50x4,squat,1,4,50
squat #1 50x4,+20 x3,squat,2,3,70
squat #2 70x3,squat #3 70+20 3,squat,3,3,90
squat #3 70+20 3,squat #4 90+10 4r,squat,4,4,100
squat #4 90+10 4r,s5 100kgx4,squat,5,4,100
squat s5 100kgx4,+5 x4,squat,6,4,105
squat set6 100+5x4,105x4,squat,7,4,105
,sj set1 40x4,split_jerk,1,4,40
sj set1 40x4,sj set2 50kgx4,split_jerk,2,4,50
sj set2 50kgx4,sj set3 50+10 2r,split_jerk,3,2,60
sj set3 50+10 2r,sj #4 60 4r,split_jerk,4,4,60
,snatch s1 40 3reps,snatch,1,3,40
snatch s1 40 3reps,40x3,snatch,2,3,40
snatch set2 40x3,#3 40 +10 3reps,snatch,3,3,50
snatch #3 40 +10 3reps,s4 50kg +10kg x4,snatch,4,4,60
snatch s4 50kg +10kg x4,set5 60 4,snatch,5,4,60
snatch set5 60 4,snatch #6 60 4r,snatch,6,4,60
snatch #6 60 4r,60x4,snatch,7,4,60
,clean #1 45kgx4,clean,1,4,45
clean #1 45kgx4,clean #2 70kgx3,clean,2,3,70
clean #2 70kgx3,clean set3 70 +10 4,clean,3,4,80
clean set3 70 +10 4,clean #4 80 4r,clean,4,4,80
clean #4 80 4r,clean s5 80kgx4,clean,5,4,80
clean s5 80kgx4,s6 80x4,clean,6,4,80
,squat #1 50kgx5,squat,1,5,50
squat #1 50kgx5,#2 50+20 3,squat,2,3,70
squat #2 50+20 3,#3 70+20x3,squat,3,3,90
squat #3 70+20x3,squat set4 90+10 4r,squat,4,4,100
squat set4 90+10 4r,100x4,squat,5,4,100
squat #5 100 4,squat s6 100 4reps,squat,6,4,100
squat s6 100 4reps,s7 100x4,squat,7,4,100
,sj s1 30kgx8,split_jerk,1,8,30
sj s1 30kgx8,sj set2 40kgx5,split_jerk,2,5,40
sj set2 40kgx5,40x5,split_jerk,3,5,40
sj #3 40 r5,sj set4 40kgx5,split_jerk,4,5,40
,snatch set1 40 4r,snatch,1,4,40
snatch set1 40 4r,+10 x3,snatch,2,3,50
snatch s2 50 3r,+10 x4,snatch,3,4,60
snatch set3 50 +10 r4,set4 60+5 3,snatch,4,3,65
snatch set4 60+5 3,snatch s5 65 -5 4reps,snatch,5,4,60
snatch s5 65 -5 4reps,#6 60kg +5kg x4,snatch,6,4,65
,clean s1 50 r4,clean,1,4,50
clean s1 50 r4,#2 70 3,clean,2,3,70
clean #2 70 3,clean set3 80x1,clean,3,1,80
clean set3 80x1,+5 x1,clean,4,1,85
clean #4 80+5x1,+5 x3,clean,5,3,90
clean s5 90 3,90x3,clean,6,3,90
clean set6 90 3r,clean s7 90x3,clean,7,3,90
,squat set1 80kgx4,squat,1,4,80
squat set1 80kgx4,+10 x4,squat,2,4,90
squat #2 80kg +10kg x4,#3 90kg +10kg x4,squat,3,4,100
squat #3 90kg +10kg x4,100x4,squat,4,4,100
squat set4 100x4,100x4,squat,5,4,100
squat #5 100kgx4,100x4,squat,6,4,100
squat s6 100x4,+10 x1,squat,7,1,110
squat s7 110x1,+5 x1,squat,8,1,115
,fs #1 40 4,front_squat,1,4,40
fs #1 40 4,+10 x3,front_squat,2,3,50
fs s2 50kgx3,set3 50 +10 3r,front_squat,3,3,60
fs set3 50 +10 3r,+10 x2,front_squat,4,2,70
fs s4 70 2,fs set5 80x2,front_squat,5,2,80
fs set5 80x2,+10 x1,front_squat,6,1,90
fs set6 90kgx1,fs set7 100x1,front_squat,7,1,100
fs set7 100x1,set8 105x1,front_squat,8,1,105
fs set8 105x1,+5 x1,front_squat,9,1,110
fs #9 110 1r,+5 x1,front_squat,10,1,115
,psnatch s1 40kgx4,power_snatch,1,4,40
psnatch s1 40kgx4,+10 x3,power_snatch,2,3,50
psnatch #2 40kg +10kg x3,+10 x4,power_snatch,3,4,60
psnatch set3 50 +10 4,60x4,power_snatch,4,4,60
psnatch s4 60x4,psnatch s5 60 r4,power_snatch,5,4,60
psnatch s5 60 r4,s6 60 4r,power_snatch,6,4,60
psnatch s6 60 4r,psnatch #7 65 1,power_snatch,7,1,65
psnatch #7 65 1,pclean set1 50kgx4,power_clean,1,4,50
pclean set1 50kgx4,#2 50+10 3,power_clean,2,3,60
pclean #2 50+10 3,pclean #3 60 +10 2reps,power_clean,3,2,70
pclean #3 60 +10 2reps,pclean set4 70+10x4,power_clean,4,4,80
pclean set4 70+10x4,pclean set5 80kgx4,power_clean,5,4,80
pclean set5 80kgx4,pclean s6 80kgx4,power_clean,6,4,80
,snatch #1 40kgx4,snatch,1,4,40
snatch #1 40kgx4,set2 40+10 3r,snatch,2,3,50
snatch set2 40+10 3r,snatch s3 50 +10 4r,snatch,3,4,60
snatch s3 50 +10 4r,+5 x4,snatch,4,4,65
snatch #4 60+5 4,#5 65kgx4,snatch,5,4,65
snatch #5 65kgx4,snatch s6 65x4,snatch,6,4,65
snatch s6 65x4,#7 70 3reps,snatch,7,3,70
snatch #7 70 3reps,clean #1 50x4,clean,1,4,50
clean #1 50x4,s2 70kgx3,clean,2,3,70
clean s2 70kgx3,set3 80x2,clean,3,2,80
clean set3 80x2,clean s4 80+5 1reps,clean,4,1,85
clean s4 80+5 1reps,clean set5 95x1,clean,5,1,95
clean set5 95x1,+5 x1,clean,6,1,100
clean #6 100 1,clean s7 100 -10 r3,clean,7,3,90
clean s7 100 -10 r3,s8 90kgx3,clean,8,3,90
clean s8 90kgx3,squat set1 60kgx4,squat,1,4,60
squat set1 60kgx4,squat s2 60kg +20kg x3,squat,2,3,80
squat s2 60kg +20kg x3,squat set3 80+10 3,squat,3,3,90
squat set3 80+10 3,+10 x3,squat,4,3,100
squat set4 100 3,#5 110 3r,squat,5,3,110
squat #5 110 3r,squat set6 110kg +5kg x3,squat,6,3,115
,snatch #1 30 4r,snatch,1,4,30
snatch #1 30 4r,snatch set2 30+10 r4,snatch,2,4,40
snatch set2 30+10 r4,#3 50 4,snatch,3,4,50
snatch #3 50 4,+10 x2,snatch,4,2,60
snatch s4 60kgx2,snatch set5 60x4,snatch,5,4,60
snatch set5 60x4,60x4,snatch,6,4,60
snatch #6 60 4,snatch s7 60kgx4,snatch,7,4,60
snatch s7 60kgx4,60x5,snatch,8,5,60
,cj #1 50kgx4,clean_and_jerk,1,4,50
cj #1 50kgx4,cj set2 50x4,clean_and_jerk,2,4,50
cj set2 50x4,cj s3 50 +10 2,clean_and_jerk,3,2,60
cj s3 50 +10 2,+10 x1,clean_and_jerk,4,1,70
cj set4 70 r1,+10 x2,clean_and_jerk,5,2,80
cj s5 70kg +10kg x2,cj set6 80 r2,clean_and_jerk,6,2,80
cj set6 80 r2,set7 80kgx2,clean_and_jerk,7,2,80
cj set7 80kgx2,set8 80 2r,clean_and_jerk,8,2,80
cj set8 80 2r,cj set9 80kgx2,clean_and_jerk,9,2,80
cj set9 80kgx2,80x2,clean_and_jerk,10,2,80
,squat #1 60x4,squat,1,4,60
squat #1 60x4,+20 x3,squat,2,3,80
squat s2 60+20 3r,+10 x2,squat,3,2,90
squat set3 80+10x2,squat s4 90kg +10kg x2,squat,4,2,100
squat s4 90kg +10kg x2,+5 x4,squat,5,4,105
squat #5 100+5x4,squat s6 105 4,squat,6,4,105
squat s6 105 4,squat s7 105x4,squat,7,4,105
squat s7 105x4,105x2,squat,8,2,105
,fs s1 50 5reps,front_squat,1,5,50
fs s1 50 5reps,s2 50+10x4,front_squat,2,4,60
fs s2 50+10x4,+10 x3,front_squat,3,3,70
fs s3 70 3,fs set4 70kgx3,front_squat,4,3,70
fs set4 70kgx3,fs s5 70+10x2,front_squat,5,2,80
fs s5 70+10x2,+10 x2,front_squat,6,2,90
fs set6 90kgx2,fs set7 90+10x1,front_squat,7,1,100
fs set7 90+10x1,set8 110x1,front_squat,8,1,110
fs set8 110x1,fs s9 110+5x1,front_squat,9,1,115
fs s9 110+5x1,psnatch set1 40x3,power_snatch,1,3,40
psnatch set1 40x3,s2 40+10x3,power_snatch,2,3,50
psnatch s2 40+10x3,+10 x3,power_snatch,3,3,60
psnatch set3 60kgx3,60x3,power_snatch,4,3,60
psnatch s4 60 3r,#5 60x3,power_snatch,5,3,60
psnatch #5 60x3,60x3,power_snatch,6,3,60
psnatch set6 60x3,s7 65x1,power_snatch,7,1,65
,pclean set1 50x4,power_clean,1,4,50
pclean set1 50x4,+10 x2,power_clean,2,2,60
pclean #2 60kgx2,s3 60 +10 2,power_clean,3,2,70
pclean s3 60 +10 2,pclean s4 70kg +10kg x2,power_clean,4,2,80
pclean s4 70kg +10kg x2,80x2,power_clean,5,2,80
pclean #5 80kgx2,pclean set6 80kgx2,power_clean,6,2,80
pclean set6 80kgx2,80x1,power_clean,7,1,80
pclean #7 80x1,pclean set8 90kgx1,power_clean,8,1,90
pclean set8 90kgx1,spull s1 60kgx2,snatch_pull,1,2,60
spull s1 60kgx2,spull #2 70 2reps,snatch_pull,2,2,70
spull #2 70 2reps,s3 70+10x4,snatch_pull,3,4,80
spull s3 70+10x4,+5 x4,snatch_pull,4,4,85
spull set4 85kgx4,85x4,snatch_pull,5,4,85
,snatch set1 40kgx4,snatch,1,4,40
snatch set1 40kgx4,s2 50kgx3,snatch,2,3,50
snatch s2 50kgx3,+10 x3,snatch,3,3,60
snatch s3 60x3,snatch s4 65 3,snatch,4,3,65
snatch s4 65 3,65x3,snatch,5,3,65
snatch #5 65 3,+5 x2,snatch,6,2,70
snatch #6 65+5x2,s7 70 +5 2r,snatch,7,2,75
,clean set1 50x4,clean,1,4,50
clean set1 50x4,+20 x3,clean,2,3,70
clean #2 50+20 3reps,+10 x1,clean,3,1,80
clean #3 80x1,+5 x1,clean,4,1,85
clean set4 85 r1,clean s5 90 3reps,clean,5,3,90
clean s5 90 3reps,90x3,clean,6,3,90
clean #6 90x3,#7 90x3,clean,7,3,90
,squat #1 60x4,squat,1,4,60
squat #1 60x4,squat set2 80kgx4,squat,2,4,80
squat set2 80kgx4,squat s3 80+15 3reps,squat,3,3,95
squat s3 80+15 3reps,#4 95 +5 1r,squat,4,1,100
squat #4 95 +5 1r,squat #5 100+5 r1,squat,5,1,105
squat #5 100+5 r1,squat set6 110kgx3,squat,6,3,110
squat set6 110kgx3,squat set7 110kgx2,squat,7,2,110
squat set7 110kgx2,110x3,squat,8,3,110
squat s8 110 3r,sb #1 30 4,snatch_balance,1,4,30
sb #1 30 4,sb #2 30kg +10kg x5,snatch_balance,2,5,40
sb #2 30kg +10kg x5,sb set3 40+5x4,snatch_balance,3,4,45
sb set3 40+5x4,sb s4 45+5x4,snatch_balance,4,4,50
sb s4 45+5x4,+10 x1,snatch_balance,5,1,60
,snatch s1 40x5,snatch,1,5,40
snatch s1 40x5,snatch s2 50 5r,snatch,2,5,50
snatch s2 50 5r,#3 55kgx5,snatch,3,5,55
snatch #3 55kgx5,55x5,snatch,4,5,55
snatch #4 55x5,snatch s5 55+5x5,snatch,5,5,60
snatch s5 55+5x5,snatch #6 65kgx5,snatch,6,5,65
snatch #6 65kgx5,snatch set7 70kgx1,snatch,7,1,70
,squat set1 40 5,squat,1,5,40
squat set1 40 5,squat set2 40+20 5,squat,2,5,60
squat set2 40+20 5,squat #3 60kg +20kg x4,squat,3,4,80
squat #3 60kg +20kg x4,squat #4 90x3,squat,4,3,90
squat #4 90x3,s5 100 5,squat,5,5,100
squat s5 100 5,squat set6 100 r5,squat,6,5,100
squat set6 100 r5,squat s7 100x5,squat,7,5,100
squat s7 100x5,squat s8 100kgx5,squat,8,5,100
squat s8 100kgx5,squat set9 100 +5 5reps,squat,9,5,105
,cj s1 50 4,clean_and_jerk,1,4,50
cj s1 50 4,set2 50kgx3,clean_and_jerk,2,3,50
cj set2 50kgx3,+20 x5,clean_and_jerk,3,5,70
cj #3 70 5,70x5,clean_and_jerk,4,5,70
cj set4 70 5reps,cj s5 70x5,clean_and_jerk,5,5,70
cj s5 70x5,cj #6 70x5,clean_and_jerk,6,5,70
cj #6 70x5,cj s7 70 +5 r5,clean_and_jerk,7,5,75
,squat set1 60 4reps,squat,1,4,60
squat set1 60 4reps,+20 x3,squat,2,3,80
squat s2 60+20x3,squat set3 90 5reps,squat,3,5,90
squat set3 90 5reps,90x5,squat,4,5,90
squat set4 90kgx5,+10 x5,squat,5,5,100
squat s5 90 +10 5,squat set6 100x5,squat,6,5,100
squat set6 100x5,squat set7 100 +5 5,squat,7,5,105
,fs set1 50x4,front_squat,1,4,50
fs set1 50x4,fs s2 50+20 4,front_squat,2,4,70
fs s2 50+20 4,fs set3 70 +10 5r,front_squat,3,5,80
fs set3 70 +10 5r,80x5,front_squat,4,5,80
fs #4 80x5,fs set5 85x5,front_squat,5,5,85
fs set5 85x5,fs #6 85x5,front_squat,6,5,85
fs #6 85x5,+5 x5,front_squat,7,5,90
fs #7 85+5x5,fs s8 100x2,front_squat,8,2,100
,mp s1 30 r5,military_press,1,5,30
mp s1 30 r5,mp s2 40kgx4,military_press,2,4,40
mp s2 40kgx4,mp set3 40 r4,military_press,3,4,40
mp set3 40 r4,mp s4 40kgx4,military_press,4,4,40
mp s4 40kgx4,mp #5 45kgx6,military_press,5,6,45
,snatch set1 40x5,snatch,1,5,40
snatch set1 40x5,#2 50 5reps,snatch,2,5,50
snatch #2 50 5reps,#3 55 r5,snatch,3,5,55
snatch #3 55 r5,55x5,snatch,4,5,55
snatch set4 55 5r,snatch #5 55+5x5,snatch,5,5,60
snatch #5 55+5x5,+5 x5,snatch,6,5,65
snatch set6 60+5 5r,s7 70x1,snatch,7,1,70
,clean set1 50x4,clean,1,4,50
clean set1 50x4,clean s2 50+20x5,clean,2,5,70
clean s2 50+20x5,clean s3 70 5reps,clean,3,5,70
clean s3 70 5reps,clean set4 75x5,clean,4,5,75
clean set4 75x5,s5 75 5reps,clean,5,5,75
clean s5 75 5reps,+5 x5,clean,6,5,80
clean s6 80x5,+10 x5,clean,7,5,90
,squat s1 70 5,squat,1,5,70
squat s1 70 5,squat set2 70kg +20kg x5,squat,2,5,90
squat set2 70kg +20kg x5,squat set3 90 +10 5reps,squat,3,5,100
,snatch #1 40kgx3,snatch,1,3,40
snatch #1 40kgx3,40x3,snatch,2,3,40
snatch s2 40kgx3,s3 50 3reps,snatch,3,3,50
snatch s3 50 3reps,#4 60x3,snatch,4,3,60
snatch #4 60x3,snatch s5 60kgx3,snatch,5,3,60
snatch s5 60kgx3,snatch set6 60 3reps,snatch,6,3,60
snatch set6 60 3reps,+5 x1,snatch,7,1,65
snatch #7 65x1,cj #1 50kgx3,clean_and_jerk,1,3,50
cj #1 50kgx3,s2 50 +10 2reps,clean_and_jerk,2,2,60
cj s2 50 +10 2reps,cj set3 70 2,clean_and_jerk,3,2,70
cj set3 70 2,+10 x3,clean_and_jerk,4,3,80
cj #4 70+10x3,80x3,clean_and_jerk,5,3,80
cj #5 80x3,cj set6 80kgx3,clean_and_jerk,6,3,80
,squat s1 70x4,squat,1,4,70
squat s1 70x4,squat s2 70+20x2,squat,2,2,90
squat s2 70+20x2,+10 x3,squat,3,3,100
squat set3 90 +10 r3,squat s4 105kgx3,squat,4,3,105
squat s4 105kgx3,squat #5 105+5 3,squat,5,3,110
squat #5 105+5 3,+5 x2,squat,6,2,115
,cj #1 50 r3,clean_and_jerk,1,3,50
cj #1 50 r3,cj set2 50 +10 r3,clean_and_jerk,2,3,60
cj set2 50 +10 r3,+10 x2,clean_and_jerk,3,2,70
cj s3 60+10 r2,+10 x3,clean_and_jerk,4,3,80
cj set4 70+10 3r,set5 80kgx3,clean_and_jerk,5,3,80
cj set5 80kgx3,set6 80x3,clean_and_jerk,6,3,80
,snatch set1 30 3reps,snatch,1,3,30
snatch set1 30 3reps,#2 30kg +10kg x3,snatch,2,3,40
snatch #2 30kg +10kg x3,s3 40+10x2,snatch,3,2,50
snatch s3 40+10x2,snatch #4 60x3,snatch,4,3,60
snatch #4 60x3,snatch s5 60kgx3,snatch,5,3,60
snatch s5 60kgx3,snatch s6 60kgx3,snatch,6,3,60
snatch s6 60kgx3,set7 60 -10 1reps,snatch,7,1,50
snatch set7 60 -10 1reps,s8 50+10x1,snatch,8,1,60
snatch s8 50+10x1,+5 x1,snatch,9,1,65
,squat s1 60kgx5,squat,1,5,60
squat s1 60kgx5,#2 80 2r,squat,2,2,80
squat #2 80 2r,+10 x2,squat,3,2,90
squat set3 90kgx2,squat set4 90+15x3,squat,4,3,105
squat set4 90+15x3,+5 x3,squat,5,3,110
squat s5 105+5 r3,squat #6 110+5 3,squat,6,3,115
,snatch set1 40x3,snatch,1,3,40
snatch set1 40x3,snatch s2 40 +10 3r,snatch,2,3,50
snatch s2 40 +10 3r,+10 x3,snatch,3,3,60
snatch s3 50+10x3,60x3,snatch,4,3,60
snatch s4 60 3,#5 60+5x1,snatch,5,1,65
snatch #5 60+5x1,s6 65+5 1,snatch,6,1,70
snatch s6 65+5 1,set7 70 -10 3,snatch,7,3,60
snatch set7 70 -10 3,cj #1 50x5,clean_and_jerk,1,5,50
cj #1 50x5,cj #2 60 2reps,clean_and_jerk,2,2,60
cj #2 60 2reps,cj set3 60 +10 2,clean_and_jerk,3,2,70
cj set3 60 +10 2,+10 x3,clean_and_jerk,4,3,80
cj #4 80kgx3,80x3,clean_and_jerk,5,3,80
cj s5 80kgx3,80x3,clean_and_jerk,6,3,80
,squat set1 60x5,squat,1,5,60
squat set1 60x5,+20 x4,squat,2,4,80
squat set2 80 4,squat #3 80 +10 2r,squat,3,2,90
squat #3 80 +10 2r,+10 x3,squat,4,3,100
squat #4 100kgx3,#5 110x3,squat,5,3,110
squat #5 110x3,-10 x3,squat,6,3,100
squat s6 110 -10 3r,#7 100 r3,squat,7,3,100
,snatch s1 40 4reps,snatch,1,4,40
snatch s1 40 4reps,snatch #2 40x4,snatch,2,4,40
snatch #2 40x4,+10 x4,snatch,3,4,50
snatch set3 40+10x4,+5 x4,snatch,4,4,55
snatch set4 50kg +5kg x4,+5 x4,snatch,5,4,60
snatch s5 55kg +5kg x4,+5 x4,snatch,6,4,65
snatch #6 60+5 r4,cj set1 50 r4,clean_and_jerk,1,4,50
cj set1 50 r4,cj set2 50+10x1,clean_and_jerk,2,1,60
cj set2 50+10x1,+5 x1,clean_and_jerk,3,1,65
cj set3 60kg +5kg x1,+5 x4,clean_and_jerk,4,4,70
cj s4 65+5 4r,cj set5 70kg +5kg x4,clean_and_jerk,5,4,75
cj set5 70kg +5kg x4,+5 x4,clean_and_jerk,6,4,80
cj set6 80x4,cj s7 80 +5 4reps,clean_and_jerk,7,4,85
cj s7 80 +5 4reps,fs set1 60 4r,front_squat,1,4,60
fs set1 60 4r,fs set2 80x4,front_squat,2,4,80
fs set2 80x4,fs #3 80kg +10kg x3,front_squat,3,3,90
fs #3 80kg +10kg x3,90x4,front_squat,4,4,90
fs #4 90kgx4,90x4,front_squat,5,4,90
fs s5 90kgx4,fs s6 90 r4,front_squat,6,4,90
,snatch #1 40x5,snatch,1,5,40
snatch #1 40x5,+10 x5,snatch,2,5,50
snatch set2 50kgx5,snatch set3 50 5,snatch,3,5,50
snatch set3 50 5,+5 x5,snatch,4,5,55
snatch set4 55 r5,+5 x5,snatch,5,5,60
snatch set5 55+5x5,snatch s6 60kgx5,snatch,6,5,60
,cj s1 50x4,clean_and_jerk,1,4,50
cj s1 50x4,cj set2 60 3,clean_and_jerk,2,3,60
cj set2 60 3,s3 60+10 5reps,clean_and_jerk,3,5,70
cj s3 60+10 5reps,70x5,clean_and_jerk,4,5,70
cj s4 70kgx5,s5 70 +5 5r,clean_and_jerk,5,5,75
cj s5 70 +5 5r,+5 x5,clean_and_jerk,6,5,80
cj set6 75+5 5,80x4,clean_and_jerk,7,4,80
cj set7 80 4,+5 x1,clean_and_jerk,8,1,85
cj set8 80+5 1reps,squat set1 60kgx5,squat,1,5,60
squat set1 60kgx5,squat s2 80x3,squat,2,3,80
squat s2 80x3,+10 x5,squat,3,5,90
squat #3 80+10 5,squat s4 100 5r,squat,4,5,100
squat s4 100 5r,#5 100kgx5,squat,5,5,100
squat #5 100kgx5,squat #6 100 r5,squat,6,5,100
,snatch set1 40x4,snatch,1,4,40
snatch set1 40x4,+10 x5,snatch,2,5,50
snatch set2 40kg +10kg x5,snatch s3 50 +5 5r,snatch,3,5,55
snatch s3 50 +5 5r,snatch set4 55+5x5,snatch,4,5,60
snatch set4 55+5x5,60x5,snatch,5,5,60
snatch #5 60 5reps,snatch #6 65kgx5,snatch,6,5,65
,cj s1 50x4,clean_and_jerk,1,4,50
cj s1 50x4,cj #2 50kg +20kg x5,clean_and_jerk,2,5,70
cj #2 50kg +20kg x5,cj #3 70kgx5,clean_and_jerk,3,5,70
cj #3 70kgx5,+5 x5,clean_and_jerk,4,5,75
cj s4 70+5 5,cj #5 75kgx5,clean_and_jerk,5,5,75
cj #5 75kgx5,+5 x5,clean_and_jerk,6,5,80
,squat set1 60x3,squat,1,3,60
squat set1 60x3,#2 60+20x3,squat,2,3,80
squat #2 60+20x3,+10 x5,squat,3,5,90
squat set3 90x5,+10 x5,squat,4,5,100
squat #4 100 5r,100x5,squat,5,5,100
squat set5 100x5,100x5,squat,6,5,100
squat set6 100kgx5,squat s7 100kgx5,squat,7,5,100
,snatch s1 40 3r,snatch,1,3,40
snatch s1 40 3r,snatch #2 40kgx3,snatch,2,3,40
snatch #2 40kgx3,snatch s3 40+10x3,snatch,3,3,50
snatch s3 40+10x3,+10 x3,snatch,4,3,60
snatch #4 60x3,s5 60+10x2,snatch,5,2,70
snatch s5 60+10x2,set6 75 1r,snatch,6,1,75
snatch set6 75 1r,snatch #7 75kgx1,snatch,7,1,75
,cj s1 40 4reps,clean_and_jerk,1,4,40
cj s1 40 4reps,#2 40x3,clean_and_jerk,2,3,40
cj #2 40x3,set3 40+10x3,clean_and_jerk,3,3,50
cj set3 40+10x3,cj set4 60x3,clean_and_jerk,4,3,60
cj set4 60x3,+10 x3,clean_and_jerk,5,3,70
cj s5 60+10 3r,s6 80 r2,clean_and_jerk,6,2,80
cj s6 80 r2,+10 x1,clean_and_jerk,7,1,90
,snatch #1 40x3,snatch,1,3,40
snatch #1 40x3,40x4,snatch,2,4,40
snatch #2 40 4reps,snatch s3 40+10x2,snatch,3,2,50
snatch s3 40+10x2,s4 50+10 r2,snatch,4,2,60
snatch s4 50+10 r2,60x1,snatch,5,1,60
snatch s5 60x1,+5 x1,snatch,6,1,65
snatch s6 60+5 1r,snatch set7 65 +5 1,snatch,7,1,70
snatch set7 65 +5 1,+5 x1,snatch,8,1,75
snatch #8 70kg +5kg x1,s9 75kg -5kg x1,snatch,9,1,70
,cj s1 50 r3,clean_and_jerk,1,3,50
cj s1 50 r3,+20 x2,clean_and_jerk,2,2,70
cj #2 50 +20 2r,70x2,clean_and_jerk,3,2,70
cj s3 70kgx2,cj set4 80x1,clean_and_jerk,4,1,80
cj set4 80x1,#5 85kgx1,clean_and_jerk,5,1,85
cj #5 85kgx1,cj #6 85kg +5kg x1,clean_and_jerk,6,1,90
cj #6 85kg +5kg x1,squat s1 50x3,squat,1,3,50
squat s1 50x3,squat s2 50kg +20kg x3,squat,2,3,70
squat s2 50kg +20kg x3,+20 x2,squat,3,2,90
